epoch,auroc,function,experiment,noise,optimizer,dropout,weight_decay
1,0.25,f10,0.5_adam_wd,0.5,adam,0.0,True
2,0.425,f10,0.5_adam_wd,0.5,adam,0.0,True
3,0.42857142857142855,f10,0.5_adam_wd,0.5,adam,0.0,True
4,0.4375,f10,0.5_adam_wd,0.5,adam,0.0,True
5,0.39285714285714285,f10,0.5_adam_wd,0.5,adam,0.0,True
6,0.25,f10,0.5_adam_wd,0.5,adam,0.0,True
7,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
8,0.4,f10,0.5_adam_wd,0.5,adam,0.0,True
9,0.42857142857142855,f10,0.5_adam_wd,0.5,adam,0.0,True
10,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
11,0.45,f10,0.5_adam_wd,0.5,adam,0.0,True
12,0.375,f10,0.5_adam_wd,0.5,adam,0.0,True
13,0.39285714285714285,f10,0.5_adam_wd,0.5,adam,0.0,True
14,0.45,f10,0.5_adam_wd,0.5,adam,0.0,True
15,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
16,0.39285714285714285,f10,0.5_adam_wd,0.5,adam,0.0,True
17,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
18,0.425,f10,0.5_adam_wd,0.5,adam,0.0,True
19,0.425,f10,0.5_adam_wd,0.5,adam,0.0,True
20,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
21,0.4166666666666667,f10,0.5_adam_wd,0.5,adam,0.0,True
22,0.4318181818181818,f10,0.5_adam_wd,0.5,adam,0.0,True
23,0.39285714285714285,f10,0.5_adam_wd,0.5,adam,0.0,True
24,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
25,0.42857142857142855,f10,0.5_adam_wd,0.5,adam,0.0,True
26,0.45,f10,0.5_adam_wd,0.5,adam,0.0,True
27,0.4166666666666667,f10,0.5_adam_wd,0.5,adam,0.0,True
28,0.425,f10,0.5_adam_wd,0.5,adam,0.0,True
29,0.375,f10,0.5_adam_wd,0.5,adam,0.0,True
30,0.4318181818181818,f10,0.5_adam_wd,0.5,adam,0.0,True
31,0.375,f10,0.5_adam_wd,0.5,adam,0.0,True
32,0.4166666666666667,f10,0.5_adam_wd,0.5,adam,0.0,True
33,0.39285714285714285,f10,0.5_adam_wd,0.5,adam,0.0,True
34,0.4375,f10,0.5_adam_wd,0.5,adam,0.0,True
35,0.42857142857142855,f10,0.5_adam_wd,0.5,adam,0.0,True
36,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
37,0.375,f10,0.5_adam_wd,0.5,adam,0.0,True
38,0.425,f10,0.5_adam_wd,0.5,adam,0.0,True
39,0.4444444444444444,f10,0.5_adam_wd,0.5,adam,0.0,True
40,0.46875,f10,0.5_adam_wd,0.5,adam,0.0,True
41,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
42,0.425,f10,0.5_adam_wd,0.5,adam,0.0,True
43,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
44,0.4318181818181818,f10,0.5_adam_wd,0.5,adam,0.0,True
45,0.4375,f10,0.5_adam_wd,0.5,adam,0.0,True
46,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
47,0.425,f10,0.5_adam_wd,0.5,adam,0.0,True
48,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
49,0.4375,f10,0.5_adam_wd,0.5,adam,0.0,True
50,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
51,0.4375,f10,0.5_adam_wd,0.5,adam,0.0,True
52,0.4375,f10,0.5_adam_wd,0.5,adam,0.0,True
53,0.4166666666666667,f10,0.5_adam_wd,0.5,adam,0.0,True
54,0.4444444444444444,f10,0.5_adam_wd,0.5,adam,0.0,True
55,0.4166666666666667,f10,0.5_adam_wd,0.5,adam,0.0,True
56,0.39285714285714285,f10,0.5_adam_wd,0.5,adam,0.0,True
57,0.4318181818181818,f10,0.5_adam_wd,0.5,adam,0.0,True
58,0.39285714285714285,f10,0.5_adam_wd,0.5,adam,0.0,True
59,0.39285714285714285,f10,0.5_adam_wd,0.5,adam,0.0,True
60,0.4375,f10,0.5_adam_wd,0.5,adam,0.0,True
61,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
62,0.4375,f10,0.5_adam_wd,0.5,adam,0.0,True
63,0.425,f10,0.5_adam_wd,0.5,adam,0.0,True
64,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
65,0.45454545454545453,f10,0.5_adam_wd,0.5,adam,0.0,True
66,0.39285714285714285,f10,0.5_adam_wd,0.5,adam,0.0,True
67,0.39285714285714285,f10,0.5_adam_wd,0.5,adam,0.0,True
68,0.4166666666666667,f10,0.5_adam_wd,0.5,adam,0.0,True
69,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
70,0.4318181818181818,f10,0.5_adam_wd,0.5,adam,0.0,True
71,0.45454545454545453,f10,0.5_adam_wd,0.5,adam,0.0,True
72,0.4375,f10,0.5_adam_wd,0.5,adam,0.0,True
73,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
74,0.425,f10,0.5_adam_wd,0.5,adam,0.0,True
75,0.45454545454545453,f10,0.5_adam_wd,0.5,adam,0.0,True
76,0.4166666666666667,f10,0.5_adam_wd,0.5,adam,0.0,True
77,0.39285714285714285,f10,0.5_adam_wd,0.5,adam,0.0,True
78,0.4166666666666667,f10,0.5_adam_wd,0.5,adam,0.0,True
79,0.4375,f10,0.5_adam_wd,0.5,adam,0.0,True
80,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
81,0.39285714285714285,f10,0.5_adam_wd,0.5,adam,0.0,True
82,0.44642857142857145,f10,0.5_adam_wd,0.5,adam,0.0,True
83,0.4375,f10,0.5_adam_wd,0.5,adam,0.0,True
84,0.4318181818181818,f10,0.5_adam_wd,0.5,adam,0.0,True
85,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
86,0.4375,f10,0.5_adam_wd,0.5,adam,0.0,True
87,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
88,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
89,0.425,f10,0.5_adam_wd,0.5,adam,0.0,True
90,0.4375,f10,0.5_adam_wd,0.5,adam,0.0,True
91,0.4166666666666667,f10,0.5_adam_wd,0.5,adam,0.0,True
92,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
93,0.4375,f10,0.5_adam_wd,0.5,adam,0.0,True
94,0.39285714285714285,f10,0.5_adam_wd,0.5,adam,0.0,True
95,0.425,f10,0.5_adam_wd,0.5,adam,0.0,True
96,0.425,f10,0.5_adam_wd,0.5,adam,0.0,True
97,0.4423076923076923,f10,0.5_adam_wd,0.5,adam,0.0,True
98,0.40625,f10,0.5_adam_wd,0.5,adam,0.0,True
99,0.4166666666666667,f10,0.5_adam_wd,0.5,adam,0.0,True
100,0.4375,f10,0.5_adam_wd,0.5,adam,0.0,True
