epoch,auroc,function,experiment,noise,optimizer,dropout,weight_decay
1,0.8333333333333334,f10,base_adam,0,adam,0.0,False
2,1.0,f10,base_adam,0,adam,0.0,False
3,1.0,f10,base_adam,0,adam,0.0,False
4,1.0,f10,base_adam,0,adam,0.0,False
5,1.0,f10,base_adam,0,adam,0.0,False
6,1.0,f10,base_adam,0,adam,0.0,False
7,1.0,f10,base_adam,0,adam,0.0,False
8,1.0,f10,base_adam,0,adam,0.0,False
9,1.0,f10,base_adam,0,adam,0.0,False
10,1.0,f10,base_adam,0,adam,0.0,False
11,1.0,f10,base_adam,0,adam,0.0,False
12,1.0,f10,base_adam,0,adam,0.0,False
13,1.0,f10,base_adam,0,adam,0.0,False
14,1.0,f10,base_adam,0,adam,0.0,False
15,1.0,f10,base_adam,0,adam,0.0,False
16,1.0,f10,base_adam,0,adam,0.0,False
17,1.0,f10,base_adam,0,adam,0.0,False
18,1.0,f10,base_adam,0,adam,0.0,False
19,1.0,f10,base_adam,0,adam,0.0,False
20,1.0,f10,base_adam,0,adam,0.0,False
21,1.0,f10,base_adam,0,adam,0.0,False
22,1.0,f10,base_adam,0,adam,0.0,False
23,1.0,f10,base_adam,0,adam,0.0,False
24,1.0,f10,base_adam,0,adam,0.0,False
25,1.0,f10,base_adam,0,adam,0.0,False
26,1.0,f10,base_adam,0,adam,0.0,False
27,1.0,f10,base_adam,0,adam,0.0,False
28,1.0,f10,base_adam,0,adam,0.0,False
29,1.0,f10,base_adam,0,adam,0.0,False
30,1.0,f10,base_adam,0,adam,0.0,False
31,1.0,f10,base_adam,0,adam,0.0,False
32,1.0,f10,base_adam,0,adam,0.0,False
33,1.0,f10,base_adam,0,adam,0.0,False
34,1.0,f10,base_adam,0,adam,0.0,False
35,1.0,f10,base_adam,0,adam,0.0,False
36,1.0,f10,base_adam,0,adam,0.0,False
37,1.0,f10,base_adam,0,adam,0.0,False
38,1.0,f10,base_adam,0,adam,0.0,False
39,1.0,f10,base_adam,0,adam,0.0,False
40,1.0,f10,base_adam,0,adam,0.0,False
41,1.0,f10,base_adam,0,adam,0.0,False
42,1.0,f10,base_adam,0,adam,0.0,False
43,1.0,f10,base_adam,0,adam,0.0,False
44,1.0,f10,base_adam,0,adam,0.0,False
45,1.0,f10,base_adam,0,adam,0.0,False
46,1.0,f10,base_adam,0,adam,0.0,False
47,1.0,f10,base_adam,0,adam,0.0,False
48,1.0,f10,base_adam,0,adam,0.0,False
49,1.0,f10,base_adam,0,adam,0.0,False
50,1.0,f10,base_adam,0,adam,0.0,False
51,1.0,f10,base_adam,0,adam,0.0,False
52,1.0,f10,base_adam,0,adam,0.0,False
53,1.0,f10,base_adam,0,adam,0.0,False
54,1.0,f10,base_adam,0,adam,0.0,False
55,1.0,f10,base_adam,0,adam,0.0,False
56,1.0,f10,base_adam,0,adam,0.0,False
57,1.0,f10,base_adam,0,adam,0.0,False
58,1.0,f10,base_adam,0,adam,0.0,False
59,1.0,f10,base_adam,0,adam,0.0,False
60,1.0,f10,base_adam,0,adam,0.0,False
61,1.0,f10,base_adam,0,adam,0.0,False
62,1.0,f10,base_adam,0,adam,0.0,False
63,1.0,f10,base_adam,0,adam,0.0,False
64,1.0,f10,base_adam,0,adam,0.0,False
65,1.0,f10,base_adam,0,adam,0.0,False
66,1.0,f10,base_adam,0,adam,0.0,False
67,1.0,f10,base_adam,0,adam,0.0,False
68,1.0,f10,base_adam,0,adam,0.0,False
69,1.0,f10,base_adam,0,adam,0.0,False
70,1.0,f10,base_adam,0,adam,0.0,False
71,1.0,f10,base_adam,0,adam,0.0,False
72,1.0,f10,base_adam,0,adam,0.0,False
73,1.0,f10,base_adam,0,adam,0.0,False
74,1.0,f10,base_adam,0,adam,0.0,False
75,1.0,f10,base_adam,0,adam,0.0,False
76,1.0,f10,base_adam,0,adam,0.0,False
77,1.0,f10,base_adam,0,adam,0.0,False
78,1.0,f10,base_adam,0,adam,0.0,False
79,1.0,f10,base_adam,0,adam,0.0,False
80,1.0,f10,base_adam,0,adam,0.0,False
81,1.0,f10,base_adam,0,adam,0.0,False
82,1.0,f10,base_adam,0,adam,0.0,False
83,1.0,f10,base_adam,0,adam,0.0,False
84,1.0,f10,base_adam,0,adam,0.0,False
85,1.0,f10,base_adam,0,adam,0.0,False
86,1.0,f10,base_adam,0,adam,0.0,False
87,1.0,f10,base_adam,0,adam,0.0,False
88,1.0,f10,base_adam,0,adam,0.0,False
89,1.0,f10,base_adam,0,adam,0.0,False
90,1.0,f10,base_adam,0,adam,0.0,False
91,1.0,f10,base_adam,0,adam,0.0,False
92,1.0,f10,base_adam,0,adam,0.0,False
93,1.0,f10,base_adam,0,adam,0.0,False
94,1.0,f10,base_adam,0,adam,0.0,False
95,1.0,f10,base_adam,0,adam,0.0,False
96,1.0,f10,base_adam,0,adam,0.0,False
97,1.0,f10,base_adam,0,adam,0.0,False
98,1.0,f10,base_adam,0,adam,0.0,False
99,1.0,f10,base_adam,0,adam,0.0,False
100,1.0,f10,base_adam,0,adam,0.0,False
