epoch,auroc,function,experiment,noise,optimizer,dropout,weight_decay
1,0.75,f8,base_sgd_dp,0,adam,0.2,False
2,1.0,f8,base_sgd_dp,0,adam,0.2,False
3,1.0,f8,base_sgd_dp,0,adam,0.2,False
4,1.0,f8,base_sgd_dp,0,adam,0.2,False
5,1.0,f8,base_sgd_dp,0,adam,0.2,False
6,0.9,f8,base_sgd_dp,0,adam,0.2,False
7,0.875,f8,base_sgd_dp,0,adam,0.2,False
8,0.75,f8,base_sgd_dp,0,adam,0.2,False
9,0.75,f8,base_sgd_dp,0,adam,0.2,False
10,0.75,f8,base_sgd_dp,0,adam,0.2,False
11,0.9375,f8,base_sgd_dp,0,adam,0.2,False
12,1.0,f8,base_sgd_dp,0,adam,0.2,False
13,0.75,f8,base_sgd_dp,0,adam,0.2,False
14,0.9375,f8,base_sgd_dp,0,adam,0.2,False
15,0.75,f8,base_sgd_dp,0,adam,0.2,False
16,0.9166666666666666,f8,base_sgd_dp,0,adam,0.2,False
17,0.75,f8,base_sgd_dp,0,adam,0.2,False
18,0.75,f8,base_sgd_dp,0,adam,0.2,False
19,0.95,f8,base_sgd_dp,0,adam,0.2,False
20,0.875,f8,base_sgd_dp,0,adam,0.2,False
21,0.9166666666666666,f8,base_sgd_dp,0,adam,0.2,False
22,0.9642857142857143,f8,base_sgd_dp,0,adam,0.2,False
23,0.95,f8,base_sgd_dp,0,adam,0.2,False
24,1.0,f8,base_sgd_dp,0,adam,0.2,False
25,1.0,f8,base_sgd_dp,0,adam,0.2,False
26,1.0,f8,base_sgd_dp,0,adam,0.2,False
27,1.0,f8,base_sgd_dp,0,adam,0.2,False
28,1.0,f8,base_sgd_dp,0,adam,0.2,False
29,1.0,f8,base_sgd_dp,0,adam,0.2,False
30,0.95,f8,base_sgd_dp,0,adam,0.2,False
31,1.0,f8,base_sgd_dp,0,adam,0.2,False
32,1.0,f8,base_sgd_dp,0,adam,0.2,False
33,0.9642857142857143,f8,base_sgd_dp,0,adam,0.2,False
34,1.0,f8,base_sgd_dp,0,adam,0.2,False
35,0.9166666666666666,f8,base_sgd_dp,0,adam,0.2,False
36,0.9166666666666666,f8,base_sgd_dp,0,adam,0.2,False
37,0.75,f8,base_sgd_dp,0,adam,0.2,False
38,0.9166666666666666,f8,base_sgd_dp,0,adam,0.2,False
39,0.8333333333333334,f8,base_sgd_dp,0,adam,0.2,False
40,1.0,f8,base_sgd_dp,0,adam,0.2,False
41,1.0,f8,base_sgd_dp,0,adam,0.2,False
42,1.0,f8,base_sgd_dp,0,adam,0.2,False
43,1.0,f8,base_sgd_dp,0,adam,0.2,False
44,1.0,f8,base_sgd_dp,0,adam,0.2,False
45,1.0,f8,base_sgd_dp,0,adam,0.2,False
46,1.0,f8,base_sgd_dp,0,adam,0.2,False
47,1.0,f8,base_sgd_dp,0,adam,0.2,False
48,1.0,f8,base_sgd_dp,0,adam,0.2,False
49,1.0,f8,base_sgd_dp,0,adam,0.2,False
50,1.0,f8,base_sgd_dp,0,adam,0.2,False
51,1.0,f8,base_sgd_dp,0,adam,0.2,False
52,1.0,f8,base_sgd_dp,0,adam,0.2,False
53,1.0,f8,base_sgd_dp,0,adam,0.2,False
54,0.875,f8,base_sgd_dp,0,adam,0.2,False
55,0.95,f8,base_sgd_dp,0,adam,0.2,False
56,1.0,f8,base_sgd_dp,0,adam,0.2,False
57,0.9375,f8,base_sgd_dp,0,adam,0.2,False
58,0.9375,f8,base_sgd_dp,0,adam,0.2,False
59,1.0,f8,base_sgd_dp,0,adam,0.2,False
60,1.0,f8,base_sgd_dp,0,adam,0.2,False
61,1.0,f8,base_sgd_dp,0,adam,0.2,False
62,0.9583333333333334,f8,base_sgd_dp,0,adam,0.2,False
63,0.9583333333333334,f8,base_sgd_dp,0,adam,0.2,False
64,0.9375,f8,base_sgd_dp,0,adam,0.2,False
65,0.9166666666666666,f8,base_sgd_dp,0,adam,0.2,False
66,0.95,f8,base_sgd_dp,0,adam,0.2,False
67,1.0,f8,base_sgd_dp,0,adam,0.2,False
68,1.0,f8,base_sgd_dp,0,adam,0.2,False
69,0.9375,f8,base_sgd_dp,0,adam,0.2,False
70,1.0,f8,base_sgd_dp,0,adam,0.2,False
71,1.0,f8,base_sgd_dp,0,adam,0.2,False
72,1.0,f8,base_sgd_dp,0,adam,0.2,False
73,1.0,f8,base_sgd_dp,0,adam,0.2,False
74,1.0,f8,base_sgd_dp,0,adam,0.2,False
75,1.0,f8,base_sgd_dp,0,adam,0.2,False
76,1.0,f8,base_sgd_dp,0,adam,0.2,False
77,1.0,f8,base_sgd_dp,0,adam,0.2,False
78,1.0,f8,base_sgd_dp,0,adam,0.2,False
79,1.0,f8,base_sgd_dp,0,adam,0.2,False
80,1.0,f8,base_sgd_dp,0,adam,0.2,False
81,0.75,f8,base_sgd_dp,0,adam,0.2,False
82,1.0,f8,base_sgd_dp,0,adam,0.2,False
83,1.0,f8,base_sgd_dp,0,adam,0.2,False
84,1.0,f8,base_sgd_dp,0,adam,0.2,False
85,1.0,f8,base_sgd_dp,0,adam,0.2,False
86,1.0,f8,base_sgd_dp,0,adam,0.2,False
87,1.0,f8,base_sgd_dp,0,adam,0.2,False
88,1.0,f8,base_sgd_dp,0,adam,0.2,False
89,1.0,f8,base_sgd_dp,0,adam,0.2,False
90,1.0,f8,base_sgd_dp,0,adam,0.2,False
91,1.0,f8,base_sgd_dp,0,adam,0.2,False
92,1.0,f8,base_sgd_dp,0,adam,0.2,False
93,1.0,f8,base_sgd_dp,0,adam,0.2,False
94,1.0,f8,base_sgd_dp,0,adam,0.2,False
95,1.0,f8,base_sgd_dp,0,adam,0.2,False
96,0.75,f8,base_sgd_dp,0,adam,0.2,False
97,1.0,f8,base_sgd_dp,0,adam,0.2,False
98,1.0,f8,base_sgd_dp,0,adam,0.2,False
99,1.0,f8,base_sgd_dp,0,adam,0.2,False
100,0.9375,f8,base_sgd_dp,0,adam,0.2,False
