function_name,experiment_name,noise,optimizer,dropout,weight_decay,auroc,precision,recall,num_gt,num_detected,num_matched,best_epoch,val_loss,success
f5,base_adam,0.0,adam,0.0,False,1.0,1.0,0.75,4,11,4,95,0.0027253839652985334,True
f5,base_sgd,0.0,sgd,0.0,False,1.0,1.0,1.0,4,23,4,100,0.00329485977999866,True
f5,0.1_adam,0.1,adam,0.0,False,0.9821428571428571,1.0,0.75,4,21,4,58,0.007437416352331638,True
f5,0.1_sgd,0.1,sgd,0.0,False,0.9807692307692307,0.6,0.75,4,33,4,100,0.007775424513965845,True
f5,0.1_adam_dp,0.1,adam,0.2,False,0.75,1.0,0.75,4,11,4,40,0.03307760879397392,True
f5,0.1_adam_wd,0.1,adam,0.0,True,0.5,0.6666666666666666,0.5,4,13,4,24,0.09371836483478546,True
f5,0.1_adam_dp_wd,0.1,adam,0.2,True,0.5,1.0,0.5,4,9,4,65,0.1083652451634407,True
f5,0.1_sgd_dp,0.1,sgd,0.2,False,0.96,1.0,0.75,4,31,4,97,0.026256626471877098,True
f5,0.1_sgd_dp_wd,0.1,sgd,0.2,True,0.5,1.0,0.5,4,7,4,74,0.11048359423875809,True
f5,0.2_adam,0.2,adam,0.0,False,0.75,1.0,0.75,4,12,4,72,0.02280089445412159,True
f5,0.2_sgd,0.2,sgd,0.0,False,0.9705882352941176,0.8,1.0,4,22,4,99,0.02325192652642727,True
f5,0.2_adam_dp,0.2,adam,0.2,False,0.75,1.0,0.5,4,5,4,92,0.04110460355877876,True
f5,0.2_adam_wd,0.2,adam,0.0,True,0.525,0.6666666666666666,0.5,4,14,4,98,0.11023510992527008,True
f5,0.2_adam_dp_wd,0.2,adam,0.2,True,0.5,1.0,0.5,4,7,4,66,0.12326221913099289,True
f5,0.2_sgd_dp,0.2,sgd,0.2,False,0.9722222222222222,1.0,0.5,4,14,4,96,0.03975871950387955,True
f5,0.2_sgd_dp_wd,0.2,sgd,0.2,True,0.5,1.0,0.5,4,9,4,61,0.12408733367919922,True
f5,0.5_adam,0.5,adam,0.0,False,1.0,1.0,0.5,4,9,4,48,0.12498858571052551,True
f5,0.5_sgd,0.5,sgd,0.0,False,1.0,1.0,0.5,4,11,4,95,0.125823512673378,True
f5,0.5_adam_dp,0.5,adam,0.2,False,0.75,1.0,0.5,4,9,4,88,0.1353280246257782,True
f5,0.5_adam_wd,0.5,adam,0.0,True,0.5416666666666666,0.5,0.5,4,16,4,34,0.2111676037311554,True
f5,0.5_adam_dp_wd,0.5,adam,0.2,True,0.5,1.0,0.5,4,5,4,42,0.22480735182762146,True
f5,0.5_sgd_dp,0.5,sgd,0.2,False,1.0,1.0,0.5,4,11,4,100,0.13644859194755554,True
f5,0.5_sgd_dp_wd,0.5,sgd,0.2,True,0.5,0.6666666666666666,0.5,4,7,4,70,0.22572897374629974,True
f5,1.0_adam,1.0,adam,0.0,False,0.975,1.0,0.5,4,16,4,65,0.4898761212825775,True
f5,1.0_sgd,1.0,sgd,0.0,False,0.9375,1.0,0.5,4,9,4,85,0.49092403054237366,True
f5,1.0_adam_dp,1.0,adam,0.2,False,0.7222222222222222,0.75,0.75,4,13,4,80,0.5061147809028625,True
f5,1.0_adam_wd,1.0,adam,0.0,True,0.53125,1.0,0.5,4,12,4,32,0.5688108205795288,True
f5,1.0_adam_dp_wd,1.0,adam,0.2,True,0.5,1.0,0.5,4,7,4,23,0.5805060267448425,True
f5,1.0_sgd_dp,1.0,sgd,0.2,False,0.8333333333333334,1.0,0.5,4,9,4,74,0.5050577521324158,True
f5,1.0_sgd_dp_wd,1.0,sgd,0.2,True,0.5,1.0,0.5,4,7,4,95,0.5818206071853638,True
