epoch,auroc,function,experiment,noise,optimizer,dropout,weight_decay
1,0.4642857142857143,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
2,0.4642857142857143,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
3,0.4,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
4,0.375,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
5,0.4722222222222222,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
6,0.4722222222222222,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
7,0.375,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
8,0.4375,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
9,0.4,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
10,0.39285714285714285,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
11,0.475,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
12,0.42857142857142855,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
13,0.45,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
14,0.4,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
15,0.42857142857142855,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
16,0.4642857142857143,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
17,0.46875,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
18,0.4642857142857143,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
19,0.4583333333333333,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
20,0.425,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
21,0.4642857142857143,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
22,0.39285714285714285,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
23,0.4642857142857143,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
24,0.4642857142857143,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
25,0.425,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
26,0.4375,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
27,0.4166666666666667,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
28,0.45,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
29,0.4,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
30,0.4166666666666667,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
31,0.39285714285714285,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
32,0.40625,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
33,0.45,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
34,0.4375,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
35,0.4583333333333333,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
36,0.4318181818181818,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
37,0.39285714285714285,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
38,0.45,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
39,0.4583333333333333,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
40,0.4444444444444444,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
41,0.45,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
42,0.42857142857142855,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
43,0.39285714285714285,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
44,0.42857142857142855,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
45,0.45,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
46,0.46875,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
47,0.4583333333333333,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
48,0.4583333333333333,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
49,0.4642857142857143,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
50,0.42857142857142855,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
51,0.4166666666666667,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
52,0.45,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
53,0.4722222222222222,f10,0.2_adam_dp_wd,0.2,adam,0.2,True
