epoch,auroc,function,experiment,noise,optimizer,dropout,weight_decay
1,0.375,f6,0.1_adam,0.1,adam,0.0,False
2,0.55,f6,0.1_adam,0.1,adam,0.0,False
3,0.625,f6,0.1_adam,0.1,adam,0.0,False
4,0.5833333333333334,f6,0.1_adam,0.1,adam,0.0,False
5,0.5,f6,0.1_adam,0.1,adam,0.0,False
6,0.6666666666666666,f6,0.1_adam,0.1,adam,0.0,False
7,0.6666666666666666,f6,0.1_adam,0.1,adam,0.0,False
8,0.625,f6,0.1_adam,0.1,adam,0.0,False
9,0.5,f6,0.1_adam,0.1,adam,0.0,False
10,0.6875,f6,0.1_adam,0.1,adam,0.0,False
11,0.55,f6,0.1_adam,0.1,adam,0.0,False
12,0.5833333333333334,f6,0.1_adam,0.1,adam,0.0,False
13,0.5833333333333334,f6,0.1_adam,0.1,adam,0.0,False
14,0.75,f6,0.1_adam,0.1,adam,0.0,False
15,0.6666666666666666,f6,0.1_adam,0.1,adam,0.0,False
16,0.75,f6,0.1_adam,0.1,adam,0.0,False
17,0.7,f6,0.1_adam,0.1,adam,0.0,False
18,0.75,f6,0.1_adam,0.1,adam,0.0,False
19,0.7916666666666666,f6,0.1_adam,0.1,adam,0.0,False
20,0.75,f6,0.1_adam,0.1,adam,0.0,False
21,0.90625,f6,0.1_adam,0.1,adam,0.0,False
22,0.75,f6,0.1_adam,0.1,adam,0.0,False
23,0.75,f6,0.1_adam,0.1,adam,0.0,False
24,0.8214285714285714,f6,0.1_adam,0.1,adam,0.0,False
25,0.875,f6,0.1_adam,0.1,adam,0.0,False
26,0.8888888888888888,f6,0.1_adam,0.1,adam,0.0,False
27,0.9166666666666666,f6,0.1_adam,0.1,adam,0.0,False
28,0.75,f6,0.1_adam,0.1,adam,0.0,False
29,0.75,f6,0.1_adam,0.1,adam,0.0,False
30,1.0,f6,0.1_adam,0.1,adam,0.0,False
31,0.75,f6,0.1_adam,0.1,adam,0.0,False
32,0.8928571428571429,f6,0.1_adam,0.1,adam,0.0,False
33,1.0,f6,0.1_adam,0.1,adam,0.0,False
34,1.0,f6,0.1_adam,0.1,adam,0.0,False
35,0.75,f6,0.1_adam,0.1,adam,0.0,False
36,0.8125,f6,0.1_adam,0.1,adam,0.0,False
37,0.75,f6,0.1_adam,0.1,adam,0.0,False
38,0.75,f6,0.1_adam,0.1,adam,0.0,False
39,0.75,f6,0.1_adam,0.1,adam,0.0,False
40,0.8125,f6,0.1_adam,0.1,adam,0.0,False
41,0.8571428571428571,f6,0.1_adam,0.1,adam,0.0,False
42,0.875,f6,0.1_adam,0.1,adam,0.0,False
43,0.75,f6,0.1_adam,0.1,adam,0.0,False
44,0.78125,f6,0.1_adam,0.1,adam,0.0,False
45,0.775,f6,0.1_adam,0.1,adam,0.0,False
46,0.75,f6,0.1_adam,0.1,adam,0.0,False
47,0.85,f6,0.1_adam,0.1,adam,0.0,False
48,0.9,f6,0.1_adam,0.1,adam,0.0,False
49,0.875,f6,0.1_adam,0.1,adam,0.0,False
50,0.9642857142857143,f6,0.1_adam,0.1,adam,0.0,False
51,0.9642857142857143,f6,0.1_adam,0.1,adam,0.0,False
52,0.75,f6,0.1_adam,0.1,adam,0.0,False
53,0.875,f6,0.1_adam,0.1,adam,0.0,False
54,0.9166666666666666,f6,0.1_adam,0.1,adam,0.0,False
55,1.0,f6,0.1_adam,0.1,adam,0.0,False
56,0.875,f6,0.1_adam,0.1,adam,0.0,False
57,0.9791666666666666,f6,0.1_adam,0.1,adam,0.0,False
58,0.75,f6,0.1_adam,0.1,adam,0.0,False
59,0.875,f6,0.1_adam,0.1,adam,0.0,False
60,0.975,f6,0.1_adam,0.1,adam,0.0,False
61,0.9722222222222222,f6,0.1_adam,0.1,adam,0.0,False
62,0.9642857142857143,f6,0.1_adam,0.1,adam,0.0,False
63,0.9375,f6,0.1_adam,0.1,adam,0.0,False
64,1.0,f6,0.1_adam,0.1,adam,0.0,False
