epoch,auroc,function,experiment,noise,optimizer,dropout,weight_decay
1,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
2,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
3,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
4,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
5,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
6,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
7,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
8,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
9,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
10,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
11,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
12,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
13,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
14,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
15,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
16,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
17,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
18,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
19,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
20,0.40625,f6,0.2_adam_wd,0.2,adam,0.0,True
21,0.45,f6,0.2_adam_wd,0.2,adam,0.0,True
22,0.4583333333333333,f6,0.2_adam_wd,0.2,adam,0.0,True
23,0.475,f6,0.2_adam_wd,0.2,adam,0.0,True
24,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
25,0.475,f6,0.2_adam_wd,0.2,adam,0.0,True
26,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
27,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
28,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
29,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
30,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
31,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
32,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
33,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
34,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
35,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
36,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
37,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
38,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
39,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
40,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
41,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
42,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
43,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
44,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
45,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
46,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
47,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
48,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
49,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
50,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
51,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
52,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
53,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
54,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
55,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
56,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
57,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
58,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
59,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
60,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
61,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
62,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
63,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
64,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
65,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
66,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
67,0.6428571428571429,f6,0.2_adam_wd,0.2,adam,0.0,True
68,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
69,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
70,0.25,f6,0.2_adam_wd,0.2,adam,0.0,True
71,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
72,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
73,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
74,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
75,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
76,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
77,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
78,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
79,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
80,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
81,0.71875,f6,0.2_adam_wd,0.2,adam,0.0,True
82,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
83,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
84,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
85,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
86,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
87,0.6388888888888888,f6,0.2_adam_wd,0.2,adam,0.0,True
88,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
89,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
90,0.5625,f6,0.2_adam_wd,0.2,adam,0.0,True
91,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
92,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
93,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
94,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
95,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
96,0.6578947368421053,f6,0.2_adam_wd,0.2,adam,0.0,True
97,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
98,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
99,0.5,f6,0.2_adam_wd,0.2,adam,0.0,True
100,0.5833333333333334,f6,0.2_adam_wd,0.2,adam,0.0,True
