epoch,auroc,auprc,function,experiment,noise,optimizer,dropout,weight_decay,model_size
1,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
2,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
3,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
4,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
5,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
6,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
7,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
8,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
9,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
10,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
11,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
12,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
13,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
14,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
15,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
16,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
17,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
18,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
19,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
20,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
21,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
22,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
23,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
24,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
25,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
26,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
27,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
28,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
29,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
30,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
31,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
32,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
33,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
34,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
35,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
36,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
37,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
38,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
39,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
40,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
41,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
42,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
43,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
44,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
45,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
46,0.0,0.4,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
47,0.0,0.3333333333333333,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
48,0.0,0.3333333333333333,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
49,0.0,0.3333333333333333,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
50,0.0,0.3333333333333333,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
51,0.0,0.3333333333333333,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
52,0.0,0.3333333333333333,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
53,0.0,0.3333333333333333,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
54,0.0,0.3333333333333333,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
55,0.0,0.3333333333333333,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
56,0.0,0.2857142857142857,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
57,0.08333333333333333,0.349702380952381,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
58,0.08333333333333333,0.349702380952381,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
59,0.08333333333333333,0.349702380952381,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
60,0.08333333333333333,0.349702380952381,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
61,0.08333333333333333,0.349702380952381,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
62,0.08333333333333333,0.349702380952381,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
63,0.08333333333333333,0.349702380952381,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
64,0.08333333333333333,0.349702380952381,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
65,0.08333333333333333,0.349702380952381,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
66,0.16666666666666666,0.38869047619047614,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
67,0.16666666666666666,0.38869047619047614,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
68,0.16666666666666666,0.38869047619047614,f1,0.1_sgd_wd,0.1,sgd,0.0,True,big
