epoch,auroc,auprc,function,experiment,noise,optimizer,dropout,weight_decay,model_size
1,0.0,0.2857142857142857,f1,0.5_adam_wd,0.5,adam,0.0,True,big
2,0.20833333333333334,0.2660714285714286,f1,0.5_adam_wd,0.5,adam,0.0,True,big
3,0.2,0.29166666666666663,f1,0.5_adam_wd,0.5,adam,0.0,True,big
4,0.1875,0.32499999999999996,f1,0.5_adam_wd,0.5,adam,0.0,True,big
5,0.21875,0.22916666666666666,f1,0.5_adam_wd,0.5,adam,0.0,True,big
6,0.21875,0.22916666666666666,f1,0.5_adam_wd,0.5,adam,0.0,True,big
7,0.21428571428571427,0.24573863636363635,f1,0.5_adam_wd,0.5,adam,0.0,True,big
8,0.21875,0.22916666666666666,f1,0.5_adam_wd,0.5,adam,0.0,True,big
9,0.225,0.20373376623376624,f1,0.5_adam_wd,0.5,adam,0.0,True,big
10,0.225,0.20373376623376624,f1,0.5_adam_wd,0.5,adam,0.0,True,big
11,0.21875,0.13872549019607844,f1,0.5_adam_wd,0.5,adam,0.0,True,big
12,0.0,0.1111111111111111,f1,0.5_adam_wd,0.5,adam,0.0,True,big
13,0.0,0.125,f1,0.5_adam_wd,0.5,adam,0.0,True,big
14,0.0,0.13333333333333333,f1,0.5_adam_wd,0.5,adam,0.0,True,big
15,0.0,0.1111111111111111,f1,0.5_adam_wd,0.5,adam,0.0,True,big
16,0.0,0.11764705882352941,f1,0.5_adam_wd,0.5,adam,0.0,True,big
17,0.0,0.15384615384615385,f1,0.5_adam_wd,0.5,adam,0.0,True,big
18,0.0,0.1,f1,0.5_adam_wd,0.5,adam,0.0,True,big
19,0.0,0.13333333333333333,f1,0.5_adam_wd,0.5,adam,0.0,True,big
20,0.0,0.10526315789473684,f1,0.5_adam_wd,0.5,adam,0.0,True,big
21,0.20588235294117646,0.12351190476190475,f1,0.5_adam_wd,0.5,adam,0.0,True,big
22,0.17647058823529413,0.11309523809523808,f1,0.5_adam_wd,0.5,adam,0.0,True,big
23,0.13636363636363635,0.15208333333333332,f1,0.5_adam_wd,0.5,adam,0.0,True,big
24,0.0,0.1,f1,0.5_adam_wd,0.5,adam,0.0,True,big
25,0.4166666666666667,0.18295454545454548,f1,0.5_adam_wd,0.5,adam,0.0,True,big
26,0.4473684210526316,0.21312111801242234,f1,0.5_adam_wd,0.5,adam,0.0,True,big
27,0.4166666666666667,0.21121001031991743,f1,0.5_adam_wd,0.5,adam,0.0,True,big
28,0.453125,0.24444444444444444,f1,0.5_adam_wd,0.5,adam,0.0,True,big
29,0.2236842105263158,0.12563405797101448,f1,0.5_adam_wd,0.5,adam,0.0,True,big
30,0.21666666666666667,0.14405153508771928,f1,0.5_adam_wd,0.5,adam,0.0,True,big
31,0.4411764705882353,0.21976817042606514,f1,0.5_adam_wd,0.5,adam,0.0,True,big
32,0.21875,0.22916666666666666,f1,0.5_adam_wd,0.5,adam,0.0,True,big
33,0.0,0.16666666666666666,f1,0.5_adam_wd,0.5,adam,0.0,True,big
34,0.19444444444444445,0.19455128205128205,f1,0.5_adam_wd,0.5,adam,0.0,True,big
35,0.425,0.27976190476190477,f1,0.5_adam_wd,0.5,adam,0.0,True,big
36,0.1875,0.20833333333333331,f1,0.5_adam_wd,0.5,adam,0.0,True,big
37,0.23214285714285715,0.17083333333333334,f1,0.5_adam_wd,0.5,adam,0.0,True,big
38,0.23214285714285715,0.17083333333333334,f1,0.5_adam_wd,0.5,adam,0.0,True,big
39,0.4375,0.3416666666666667,f1,0.5_adam_wd,0.5,adam,0.0,True,big
40,0.23333333333333334,0.16488486842105263,f1,0.5_adam_wd,0.5,adam,0.0,True,big
