epoch,auroc,auprc,function,experiment,noise,optimizer,dropout,weight_decay,model_size
1,0.4375,0.3416666666666667,f2,0.5_adam,0.5,adam,0.0,False,big
2,0.35,0.3492063492063492,f2,0.5_adam,0.5,adam,0.0,False,big
3,0.39285714285714285,0.31313131313131315,f2,0.5_adam,0.5,adam,0.0,False,big
4,0.675,0.5978937728937729,f2,0.5_adam,0.5,adam,0.0,False,big
5,0.375,0.27708333333333335,f2,0.5_adam,0.5,adam,0.0,False,big
6,0.3333333333333333,0.30625,f2,0.5_adam,0.5,adam,0.0,False,big
7,0.32142857142857145,0.2756313131313131,f2,0.5_adam,0.5,adam,0.0,False,big
8,0.25,0.3117063492063492,f2,0.5_adam,0.5,adam,0.0,False,big
9,0.2857142857142857,0.2655122655122655,f2,0.5_adam,0.5,adam,0.0,False,big
10,0.5714285714285714,0.574025974025974,f2,0.5_adam,0.5,adam,0.0,False,big
11,0.5,0.5700892857142856,f2,0.5_adam,0.5,adam,0.0,False,big
12,0.4722222222222222,0.5182109557109557,f2,0.5_adam,0.5,adam,0.0,False,big
13,0.4583333333333333,0.5583333333333333,f2,0.5_adam,0.5,adam,0.0,False,big
14,0.4791666666666667,0.494047619047619,f2,0.5_adam,0.5,adam,0.0,False,big
15,0.475,0.5089285714285714,f2,0.5_adam,0.5,adam,0.0,False,big
16,0.21875,0.22916666666666666,f2,0.5_adam,0.5,adam,0.0,False,big
17,0.4791666666666667,0.494047619047619,f2,0.5_adam,0.5,adam,0.0,False,big
18,0.22727272727272727,0.19374999999999998,f2,0.5_adam,0.5,adam,0.0,False,big
19,0.4642857142857143,0.5422979797979798,f2,0.5_adam,0.5,adam,0.0,False,big
20,0.21875,0.22916666666666666,f2,0.5_adam,0.5,adam,0.0,False,big
21,0.4722222222222222,0.5182109557109557,f2,0.5_adam,0.5,adam,0.0,False,big
22,0.4807692307692308,0.48799019607843136,f2,0.5_adam,0.5,adam,0.0,False,big
23,0.4772727272727273,0.5009615384615385,f2,0.5_adam,0.5,adam,0.0,False,big
24,0.475,0.5089285714285714,f2,0.5_adam,0.5,adam,0.0,False,big
25,0.4583333333333333,0.5583333333333333,f2,0.5_adam,0.5,adam,0.0,False,big
26,0.475,0.5089285714285714,f2,0.5_adam,0.5,adam,0.0,False,big
27,0.4868421052631579,0.46312111801242234,f2,0.5_adam,0.5,adam,0.0,False,big
28,0.4791666666666667,0.494047619047619,f2,0.5_adam,0.5,adam,0.0,False,big
29,0.4642857142857143,0.5422979797979798,f2,0.5_adam,0.5,adam,0.0,False,big
30,0.4791666666666667,0.494047619047619,f2,0.5_adam,0.5,adam,0.0,False,big
31,0.4772727272727273,0.5009615384615385,f2,0.5_adam,0.5,adam,0.0,False,big
32,0.4791666666666667,0.494047619047619,f2,0.5_adam,0.5,adam,0.0,False,big
33,0.4772727272727273,0.5009615384615385,f2,0.5_adam,0.5,adam,0.0,False,big
34,0.5,0.5739348370927319,f2,0.5_adam,0.5,adam,0.0,False,big
35,0.475,0.5089285714285714,f2,0.5_adam,0.5,adam,0.0,False,big
36,0.5,0.5777777777777777,f2,0.5_adam,0.5,adam,0.0,False,big
37,0.4772727272727273,0.5009615384615385,f2,0.5_adam,0.5,adam,0.0,False,big
38,0.5,0.592156862745098,f2,0.5_adam,0.5,adam,0.0,False,big
39,0.4852941176470588,0.4697681704260651,f2,0.5_adam,0.5,adam,0.0,False,big
40,0.4791666666666667,0.494047619047619,f2,0.5_adam,0.5,adam,0.0,False,big
41,0.4772727272727273,0.5009615384615385,f2,0.5_adam,0.5,adam,0.0,False,big
42,0.4772727272727273,0.5009615384615385,f2,0.5_adam,0.5,adam,0.0,False,big
43,0.4861111111111111,0.4662878787878788,f2,0.5_adam,0.5,adam,0.0,False,big
44,0.48333333333333334,0.4778766769865841,f2,0.5_adam,0.5,adam,0.0,False,big
45,0.5,0.6130952380952381,f2,0.5_adam,0.5,adam,0.0,False,big
46,0.5,0.592156862745098,f2,0.5_adam,0.5,adam,0.0,False,big
47,0.5,0.5982142857142857,f2,0.5_adam,0.5,adam,0.0,False,big
48,0.5,0.567287784679089,f2,0.5_adam,0.5,adam,0.0,False,big
49,0.5,0.5777777777777777,f2,0.5_adam,0.5,adam,0.0,False,big
50,0.5,0.5868055555555556,f2,0.5_adam,0.5,adam,0.0,False,big
51,0.5,0.6051282051282051,f2,0.5_adam,0.5,adam,0.0,False,big
52,0.5,0.5982142857142857,f2,0.5_adam,0.5,adam,0.0,False,big
53,0.5,0.5982142857142857,f2,0.5_adam,0.5,adam,0.0,False,big
54,0.5,0.6051282051282051,f2,0.5_adam,0.5,adam,0.0,False,big
55,0.5,0.5777777777777777,f2,0.5_adam,0.5,adam,0.0,False,big
56,0.575,0.6298382173382173,f2,0.5_adam,0.5,adam,0.0,False,big
57,0.5,0.5820433436532508,f2,0.5_adam,0.5,adam,0.0,False,big
58,0.5,0.6223776223776224,f2,0.5_adam,0.5,adam,0.0,False,big
59,0.5,0.6223776223776224,f2,0.5_adam,0.5,adam,0.0,False,big
60,0.5,0.5777777777777777,f2,0.5_adam,0.5,adam,0.0,False,big
61,0.5,0.592156862745098,f2,0.5_adam,0.5,adam,0.0,False,big
62,0.5,0.6130952380952381,f2,0.5_adam,0.5,adam,0.0,False,big
63,0.5,0.567287784679089,f2,0.5_adam,0.5,adam,0.0,False,big
64,0.5,0.6333333333333333,f2,0.5_adam,0.5,adam,0.0,False,big
65,0.5,0.6464646464646464,f2,0.5_adam,0.5,adam,0.0,False,big
66,0.5,0.6333333333333333,f2,0.5_adam,0.5,adam,0.0,False,big
67,0.5,0.6130952380952381,f2,0.5_adam,0.5,adam,0.0,False,big
68,0.5,0.6130952380952381,f2,0.5_adam,0.5,adam,0.0,False,big
69,0.5,0.5820433436532508,f2,0.5_adam,0.5,adam,0.0,False,big
70,0.5,0.6223776223776224,f2,0.5_adam,0.5,adam,0.0,False,big
71,0.5,0.5868055555555556,f2,0.5_adam,0.5,adam,0.0,False,big
72,0.5,0.5820433436532508,f2,0.5_adam,0.5,adam,0.0,False,big
73,0.5,0.6223776223776224,f2,0.5_adam,0.5,adam,0.0,False,big
74,0.5,0.6333333333333333,f2,0.5_adam,0.5,adam,0.0,False,big
75,0.5,0.6223776223776224,f2,0.5_adam,0.5,adam,0.0,False,big
76,0.5,0.6464646464646464,f2,0.5_adam,0.5,adam,0.0,False,big
77,0.5,0.6051282051282051,f2,0.5_adam,0.5,adam,0.0,False,big
78,0.5,0.5820433436532508,f2,0.5_adam,0.5,adam,0.0,False,big
79,0.5,0.6223776223776224,f2,0.5_adam,0.5,adam,0.0,False,big
80,0.5,0.6464646464646464,f2,0.5_adam,0.5,adam,0.0,False,big
81,0.5,0.6464646464646464,f2,0.5_adam,0.5,adam,0.0,False,big
82,0.5,0.6130952380952381,f2,0.5_adam,0.5,adam,0.0,False,big
83,0.5,0.6464646464646464,f2,0.5_adam,0.5,adam,0.0,False,big
84,0.5,0.6130952380952381,f2,0.5_adam,0.5,adam,0.0,False,big
85,0.5,0.6223776223776224,f2,0.5_adam,0.5,adam,0.0,False,big
86,0.5,0.5982142857142857,f2,0.5_adam,0.5,adam,0.0,False,big
87,0.5,0.6333333333333333,f2,0.5_adam,0.5,adam,0.0,False,big
88,0.5,0.6130952380952381,f2,0.5_adam,0.5,adam,0.0,False,big
89,0.5,0.6625,f2,0.5_adam,0.5,adam,0.0,False,big
90,0.5,0.6223776223776224,f2,0.5_adam,0.5,adam,0.0,False,big
91,0.5,0.6464646464646464,f2,0.5_adam,0.5,adam,0.0,False,big
92,0.5,0.6464646464646464,f2,0.5_adam,0.5,adam,0.0,False,big
93,0.5,0.592156862745098,f2,0.5_adam,0.5,adam,0.0,False,big
94,0.5,0.6223776223776224,f2,0.5_adam,0.5,adam,0.0,False,big
95,0.5,0.6333333333333333,f2,0.5_adam,0.5,adam,0.0,False,big
96,0.5,0.6223776223776224,f2,0.5_adam,0.5,adam,0.0,False,big
97,0.5,0.6130952380952381,f2,0.5_adam,0.5,adam,0.0,False,big
98,0.5,0.6625,f2,0.5_adam,0.5,adam,0.0,False,big
99,0.5,0.592156862745098,f2,0.5_adam,0.5,adam,0.0,False,big
100,0.5,0.6223776223776224,f2,0.5_adam,0.5,adam,0.0,False,big
