epoch,auroc,auprc,function,experiment,noise,optimizer,dropout,weight_decay,model_size
1,0.0,0.4,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
2,0.25,0.7375,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
3,0.25,0.7375,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
4,0.25,0.7375,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
5,0.25,0.7375,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
6,0.25,0.7375,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
7,0.25,0.7375,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
8,0.25,0.7375,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
9,0.25,0.7375,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
10,0.25,0.625,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
11,0.25,0.625,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
12,0.25,0.625,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
13,0.25,0.625,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
14,0.25,0.625,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
15,0.25,0.625,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
16,0.25,0.5580357142857143,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
17,0.25,0.625,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
18,0.25,0.5580357142857143,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
19,0.25,0.5580357142857143,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
20,0.25,0.5580357142857143,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
21,0.25,0.5580357142857143,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
22,0.25,0.5580357142857143,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
23,0.25,0.5125,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
24,0.25,0.5125,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
25,0.25,0.5125,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
26,0.25,0.5125,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
27,0.25,0.5580357142857143,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
28,0.25,0.5580357142857143,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
29,0.25,0.5580357142857143,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
30,0.25,0.5580357142857143,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
31,0.25,0.5580357142857143,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
32,0.25,0.47916666666666663,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
33,0.25,0.5125,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
34,0.25,0.5125,f3,0.5_sgd_dp,0.5,sgd,0.2,False,big
