epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0001.pt,1.6663482189178467,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
2,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0002.pt,1.3608430624008179,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
3,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0003.pt,0.9993793964385986,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
4,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0004.pt,0.9673675894737244,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
5,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0005.pt,0.9335541129112244,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
6,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0006.pt,0.9188998341560364,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
7,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0007.pt,0.9142177104949951,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
8,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0008.pt,0.9018965363502502,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
9,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0009.pt,0.889277994632721,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
10,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0010.pt,0.9152944684028625,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
11,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0011.pt,0.8850362300872803,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
12,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0012.pt,0.8899109363555908,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
13,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0013.pt,0.8732126355171204,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
14,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0014.pt,0.8699141144752502,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
15,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0015.pt,0.8645423054695129,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
16,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0016.pt,0.8788580298423767,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
17,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0017.pt,0.8642802238464355,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
18,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0018.pt,0.8699446320533752,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
19,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0019.pt,0.8757321238517761,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
20,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0020.pt,0.8634831309318542,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
21,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0021.pt,0.8687778115272522,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
22,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0022.pt,0.8627027273178101,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
23,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0023.pt,0.8651726841926575,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
24,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0024.pt,0.8753347396850586,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
25,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0025.pt,0.8602445721626282,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
26,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0026.pt,0.8707436323165894,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
27,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0027.pt,0.8635197281837463,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
28,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0028.pt,0.862604558467865,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
29,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0029.pt,0.8580935597419739,0.6666666666666666,0.003948667324777887,0.0,0.4990089197224975,True,
30,f1,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,big,snapshots_clean/big/f1/1.0_sgd_dp_wd/epoch_0030.pt,0.8708070516586304,0.6666666666666666,0.003948667324777887,0.0,0.4990089197224975,True,
