epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0001.pt,0.8355717062950134,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
2,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0002.pt,0.6951417326927185,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
3,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0003.pt,0.4772684574127197,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
4,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0004.pt,0.29899752140045166,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
5,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0005.pt,0.2784634828567505,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
6,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0006.pt,0.2566329836845398,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
7,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0007.pt,0.24957159161567688,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
8,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0008.pt,0.249471053481102,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
9,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0009.pt,0.24194762110710144,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
10,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0010.pt,0.24557866156101227,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
11,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0011.pt,0.236423060297966,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
12,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0012.pt,0.23415926098823547,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
13,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0013.pt,0.23471780121326447,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
14,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0014.pt,0.24434974789619446,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
15,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0015.pt,0.23084187507629395,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
16,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0016.pt,0.2287410944700241,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
17,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0017.pt,0.2487235963344574,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
18,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0018.pt,0.22642461955547333,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
19,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0019.pt,0.2306768298149109,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
20,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0020.pt,0.22050049901008606,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
21,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0021.pt,0.22144770622253418,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
22,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0022.pt,0.21799950301647186,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
23,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0023.pt,0.21935215592384338,0.8,0.003948667324777887,0.0,0.4990089197224975,True,
24,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0024.pt,0.21744811534881592,0.8,0.003948667324777887,0.0,0.4990089197224975,True,
25,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0025.pt,0.21344178915023804,0.9,0.501974333662389,0.5,0.7497522299306243,True,
26,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0026.pt,0.2156643122434616,0.9,0.501974333662389,0.5,0.7497522299306243,True,
27,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0027.pt,0.2151755541563034,0.9,0.501974333662389,0.5,0.7495044598612487,True,
28,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0028.pt,0.21035261452198029,0.9,0.501974333662389,0.5,0.7495044598612487,True,
29,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0029.pt,0.2093806117773056,0.9,0.501974333662389,0.5,0.7495044598612487,True,
30,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0030.pt,0.20996077358722687,0.9,0.501974333662389,0.5,0.7495044598612487,True,
31,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0031.pt,0.21221627295017242,0.9,0.501974333662389,0.5,0.7495044598612487,True,
32,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0032.pt,0.20656058192253113,0.9,0.501974333662389,0.5,0.7495044598612487,True,
33,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0033.pt,0.20634932816028595,0.9,0.501974333662389,0.5,0.7495044598612487,True,
34,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0034.pt,0.20450161397457123,0.9,0.501974333662389,0.5,0.7495044598612487,True,
35,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0035.pt,0.2094092220067978,0.9,0.501974333662389,0.5,0.7495044598612487,True,
36,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0036.pt,0.2042033076286316,0.9,0.501974333662389,0.5,0.7495044598612487,True,
37,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0037.pt,0.2092943638563156,0.9,0.501974333662389,0.5,0.7495044598612487,True,
38,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0038.pt,0.2360227108001709,0.9,0.501974333662389,0.5,0.7495044598612487,True,
39,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0039.pt,0.20176047086715698,0.9,0.501974333662389,0.5,0.7495044598612487,True,
40,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0040.pt,0.19909797608852386,0.9,0.501974333662389,0.5,0.7495044598612487,True,
41,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0041.pt,0.2035696804523468,0.9,0.4186410003290556,0.5,0.7492566897918731,True,
42,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0042.pt,0.20337340235710144,0.9,0.4186410003290556,0.5,0.7492566897918731,True,
43,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0043.pt,0.1965351551771164,0.9,0.4186410003290556,0.5,0.7492566897918731,True,
44,f2,f2,0.5_sgd,0.5,sgd,0.0,False,big,snapshots_clean/big/f2/0.5_sgd/epoch_0044.pt,0.22278067469596863,0.8333333333333333,0.4186410003290556,0.5,0.7490089197224976,True,
