epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0001.pt,0.7616114616394043,0.5833333333333333,0.2529615004935834,0.25,0.6231417244796829,True,
2,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0002.pt,0.7286309003829956,0.625,0.2529615004935834,0.25,0.6235133795837463,True,
3,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0003.pt,0.7246299982070923,0.5833333333333333,0.2529615004935834,0.25,0.6227700693756194,True,
4,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0004.pt,0.7210938334465027,0.55,0.2529615004935834,0.25,0.622398414271556,True,
5,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0005.pt,0.707087516784668,0.5833333333333333,0.2529615004935834,0.25,0.6216551040634292,True,
6,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0006.pt,0.6653374433517456,0.5833333333333333,0.2529615004935834,0.25,0.6209117938553023,True,
7,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0007.pt,0.6878454089164734,0.4880952380952381,0.2936410003290556,0.34375,0.7443012884043607,True,
8,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0008.pt,0.6587544679641724,0.4928571428571429,0.2936410003290556,0.425,0.7433102081268582,True,
9,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0009.pt,0.6605588793754578,0.5,0.2974288791169344,0.375,0.7445490584737363,True,
10,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0010.pt,0.6896457076072693,0.5214285714285715,0.2936410003290556,0.29166666666666663,0.7447968285431119,True,
11,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0011.pt,0.6819289922714233,0.45384615384615384,0.2853076669957223,0.2777777777777778,0.7433102081268583,True,
12,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0012.pt,0.657508134841919,0.45940170940170943,0.2853076669957223,0.3055555555555556,0.7430624380574826,True,
13,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0013.pt,0.642592191696167,0.49583333333333335,0.39821428571428574,0.4375,0.9910802775024777,True,
14,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0014.pt,0.664033055305481,0.4576048951048951,0.3308190996043037,0.36111111111111116,0.8666997026759168,True,
15,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0015.pt,0.6586029529571533,0.5833333333333333,0.3634871668311945,0.59375,0.8690535183349851,True,
16,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0016.pt,0.641217052936554,0.5909090909090909,0.4427521008403361,0.625,0.9933102081268583,True,
17,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0017.pt,0.6381372213363647,0.6666666666666666,0.43432050016452783,0.625,0.8715312190287413,True,
18,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0018.pt,0.6468461751937866,0.6950757575757576,0.551923076923077,0.75,0.9962834489593657,True,
19,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0019.pt,0.6375764012336731,0.7361111111111112,0.44416898501301266,0.6000000000000001,0.8712834489593657,True,
20,f3,f3,0.5_adam,0.5,adam,0.0,False,big,snapshots_clean/big/f3/0.5_adam/epoch_0020.pt,0.6394256949424744,0.6950757575757576,0.5285714285714286,0.71875,0.9957879088206144,True,
