epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0001.pt,0.4962279200553894,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
2,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0002.pt,0.20914806425571442,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
3,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0003.pt,0.1516668200492859,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
4,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0004.pt,0.1406620293855667,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
5,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0005.pt,0.11415267735719681,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
6,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0006.pt,0.12448614090681076,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
7,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0007.pt,0.1124051883816719,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
8,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0008.pt,0.11480163782835007,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
9,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0009.pt,0.09863429516553879,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
10,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0010.pt,0.09814716875553131,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
11,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0011.pt,0.09002143889665604,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
12,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0012.pt,0.09454305469989777,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
13,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0013.pt,0.08776851743459702,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
14,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0014.pt,0.10050613433122635,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
15,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0015.pt,0.08995416015386581,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
16,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0016.pt,0.08204971253871918,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
17,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0017.pt,0.07584916800260544,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
18,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0018.pt,0.09198559075593948,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
19,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0019.pt,0.09463251382112503,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
20,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0020.pt,0.07094988226890564,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
21,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0021.pt,0.08255495131015778,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
22,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0022.pt,0.07760387659072876,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
23,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0023.pt,0.0904259905219078,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
24,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0024.pt,0.09202808886766434,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
25,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0025.pt,0.09110520035028458,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
26,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0026.pt,0.0818745568394661,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
27,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0027.pt,0.1007046103477478,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
28,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0028.pt,0.0825488418340683,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
29,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0029.pt,0.07914064824581146,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
30,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,big,snapshots_clean/big/f7/0.1_sgd_dp/epoch_0030.pt,0.083554208278656,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
