epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,big,snapshots_clean/big/f7/0.2_sgd_wd/epoch_0001.pt,0.4283967912197113,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
2,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,big,snapshots_clean/big/f7/0.2_sgd_wd/epoch_0002.pt,0.25192970037460327,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
3,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,big,snapshots_clean/big/f7/0.2_sgd_wd/epoch_0003.pt,0.21352341771125793,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
4,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,big,snapshots_clean/big/f7/0.2_sgd_wd/epoch_0004.pt,0.2070980817079544,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
5,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,big,snapshots_clean/big/f7/0.2_sgd_wd/epoch_0005.pt,0.205235093832016,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
6,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,big,snapshots_clean/big/f7/0.2_sgd_wd/epoch_0006.pt,0.19871477782726288,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
7,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,big,snapshots_clean/big/f7/0.2_sgd_wd/epoch_0007.pt,0.2051096111536026,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
8,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,big,snapshots_clean/big/f7/0.2_sgd_wd/epoch_0008.pt,0.22822806239128113,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
9,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,big,snapshots_clean/big/f7/0.2_sgd_wd/epoch_0009.pt,0.19317498803138733,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
10,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,big,snapshots_clean/big/f7/0.2_sgd_wd/epoch_0010.pt,0.18942175805568695,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
11,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,big,snapshots_clean/big/f7/0.2_sgd_wd/epoch_0011.pt,0.1926916390657425,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
12,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,big,snapshots_clean/big/f7/0.2_sgd_wd/epoch_0012.pt,0.19227150082588196,0.8,0.003948667324777887,0.0,0.49950445986124875,True,
13,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,big,snapshots_clean/big/f7/0.2_sgd_wd/epoch_0013.pt,0.19286906719207764,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
14,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,big,snapshots_clean/big/f7/0.2_sgd_wd/epoch_0014.pt,0.18874363601207733,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
15,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,big,snapshots_clean/big/f7/0.2_sgd_wd/epoch_0015.pt,0.18731755018234253,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
16,f7,f7,0.2_sgd_wd,0.2,sgd,0.0,True,big,snapshots_clean/big/f7/0.2_sgd_wd/epoch_0016.pt,0.19191883504390717,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
