epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f8,f8,base_sgd_wd,0.0,sgd,0.0,True,big,snapshots_clean/big/f8/base_sgd_wd/epoch_0001.pt,0.05146504566073418,1.0,0.6791666666666667,1.0,0.9990089197224976,True,
2,f8,f8,base_sgd_wd,0.0,sgd,0.0,True,big,snapshots_clean/big/f8/base_sgd_wd/epoch_0002.pt,0.014310511760413647,1.0,0.6791666666666667,1.0,0.9990089197224975,True,
3,f8,f8,base_sgd_wd,0.0,sgd,0.0,True,big,snapshots_clean/big/f8/base_sgd_wd/epoch_0003.pt,0.04176562279462814,1.0,0.6791666666666667,1.0,0.9990089197224976,True,
4,f8,f8,base_sgd_wd,0.0,sgd,0.0,True,big,snapshots_clean/big/f8/base_sgd_wd/epoch_0004.pt,0.033561233431100845,1.0,0.6791666666666667,1.0,0.9990089197224976,True,
5,f8,f8,base_sgd_wd,0.0,sgd,0.0,True,big,snapshots_clean/big/f8/base_sgd_wd/epoch_0005.pt,0.008887066505849361,1.0,0.6791666666666667,1.0,0.9990089197224975,True,
6,f8,f8,base_sgd_wd,0.0,sgd,0.0,True,big,snapshots_clean/big/f8/base_sgd_wd/epoch_0006.pt,0.00865124724805355,1.0,0.6791666666666667,1.0,0.9990089197224975,True,
7,f8,f8,base_sgd_wd,0.0,sgd,0.0,True,big,snapshots_clean/big/f8/base_sgd_wd/epoch_0007.pt,0.013947862200438976,1.0,0.6791666666666667,1.0,0.9990089197224975,True,
8,f8,f8,base_sgd_wd,0.0,sgd,0.0,True,big,snapshots_clean/big/f8/base_sgd_wd/epoch_0008.pt,0.013046223670244217,1.0,0.6791666666666667,1.0,0.9990089197224975,True,
9,f8,f8,base_sgd_wd,0.0,sgd,0.0,True,big,snapshots_clean/big/f8/base_sgd_wd/epoch_0009.pt,0.015399659983813763,0.95,0.5011904761904762,0.9722222222222222,0.9977700693756194,True,
10,f8,f8,base_sgd_wd,0.0,sgd,0.0,True,big,snapshots_clean/big/f8/base_sgd_wd/epoch_0010.pt,0.004968449007719755,0.95,0.95,0.9807692307692308,0.9997522299306243,True,
11,f8,f8,base_sgd_wd,0.0,sgd,0.0,True,big,snapshots_clean/big/f8/base_sgd_wd/epoch_0011.pt,0.005280431360006332,1.0,1.0,1.0,1.0,True,
12,f8,f8,base_sgd_wd,0.0,sgd,0.0,True,big,snapshots_clean/big/f8/base_sgd_wd/epoch_0012.pt,0.005325070582330227,0.95,0.95,0.96875,0.9997522299306244,True,
13,f8,f8,base_sgd_wd,0.0,sgd,0.0,True,big,snapshots_clean/big/f8/base_sgd_wd/epoch_0013.pt,0.006030072458088398,0.75,0.44265383349786114,0.7291666666666666,0.872398414271556,True,
