epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0001.pt,0.14629273116588593,0.9,0.501974333662389,0.5,0.7492566897918732,True,
2,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0002.pt,0.2171235829591751,0.75,0.501974333662389,0.5,0.7485133795837462,True,
3,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0003.pt,0.11750756949186325,0.75,0.501974333662389,0.5,0.7485133795837462,True,
4,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0004.pt,0.139052152633667,0.7222222222222222,0.501974333662389,0.5,0.7480178394449951,True,
5,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0005.pt,0.1151706725358963,0.75,0.501974333662389,0.5,0.7482656095143706,True,
6,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0006.pt,0.16494707763195038,0.7857142857142857,0.501974333662389,0.5,0.7487611496531219,True,
7,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0007.pt,0.12861458957195282,0.7,0.501974333662389,0.5,0.7480178394449951,True,
8,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0008.pt,0.1352592557668686,0.6818181818181819,0.501974333662389,0.5,0.7472745292368681,True,
9,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0009.pt,0.17238549888134003,0.7222222222222222,0.501974333662389,0.5,0.7480178394449951,True,
10,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0010.pt,0.14444899559020996,0.75,0.501974333662389,0.5,0.7477700693756195,True,
11,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0011.pt,0.2532850503921509,0.7857142857142857,0.501974333662389,0.5,0.7485133795837462,True,
12,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0012.pt,0.17243027687072754,0.7857142857142857,0.501974333662389,0.5,0.7485133795837462,True,
13,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0013.pt,0.19013603031635284,0.75,0.501974333662389,0.5,0.7482656095143706,True,
14,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0014.pt,0.15067021548748016,0.7,0.501974333662389,0.5,0.7475222993062438,True,
15,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0015.pt,0.174669086933136,0.7222222222222222,0.501974333662389,0.5,0.7480178394449951,True,
16,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0016.pt,0.1117081418633461,0.8333333333333333,0.501974333662389,0.5,0.7487611496531219,True,
17,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0017.pt,0.12695270776748657,0.6818181818181819,0.501974333662389,0.5,0.7472745292368681,True,
18,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0018.pt,0.13785932958126068,0.75,0.501974333662389,0.5,0.7482656095143706,True,
19,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,big,snapshots_clean/big/f9/0.2_adam_dp_wd/epoch_0019.pt,0.12117107212543488,0.6818181818181819,0.501974333662389,0.5,0.7472745292368681,True,
