epoch,auroc,function,experiment,noise,optimizer,dropout,weight_decay
1,0.6388888888888888,f8,0.5_adam_wd,0.5,adam,0.0,True
2,0.7,f8,0.5_adam_wd,0.5,adam,0.0,True
3,0.6617647058823529,f8,0.5_adam_wd,0.5,adam,0.0,True
4,0.45,f8,0.5_adam_wd,0.5,adam,0.0,True
5,0.5961538461538461,f8,0.5_adam_wd,0.5,adam,0.0,True
6,0.671875,f8,0.5_adam_wd,0.5,adam,0.0,True
7,0.6964285714285714,f8,0.5_adam_wd,0.5,adam,0.0,True
8,0.5,f8,0.5_adam_wd,0.5,adam,0.0,True
9,0.71875,f8,0.5_adam_wd,0.5,adam,0.0,True
10,0.6979166666666666,f8,0.5_adam_wd,0.5,adam,0.0,True
11,0.734375,f8,0.5_adam_wd,0.5,adam,0.0,True
12,0.7083333333333334,f8,0.5_adam_wd,0.5,adam,0.0,True
13,0.5,f8,0.5_adam_wd,0.5,adam,0.0,True
14,0.5,f8,0.5_adam_wd,0.5,adam,0.0,True
15,0.6805555555555556,f8,0.5_adam_wd,0.5,adam,0.0,True
16,0.5,f8,0.5_adam_wd,0.5,adam,0.0,True
17,0.4722222222222222,f8,0.5_adam_wd,0.5,adam,0.0,True
18,0.6875,f8,0.5_adam_wd,0.5,adam,0.0,True
19,0.7205882352941176,f8,0.5_adam_wd,0.5,adam,0.0,True
20,0.6979166666666666,f8,0.5_adam_wd,0.5,adam,0.0,True
21,0.5,f8,0.5_adam_wd,0.5,adam,0.0,True
22,0.45588235294117646,f8,0.5_adam_wd,0.5,adam,0.0,True
23,0.6785714285714286,f8,0.5_adam_wd,0.5,adam,0.0,True
24,0.42857142857142855,f8,0.5_adam_wd,0.5,adam,0.0,True
25,0.25,f8,0.5_adam_wd,0.5,adam,0.0,True
26,0.71875,f8,0.5_adam_wd,0.5,adam,0.0,True
27,0.7166666666666667,f8,0.5_adam_wd,0.5,adam,0.0,True
28,0.6617647058823529,f8,0.5_adam_wd,0.5,adam,0.0,True
29,0.5,f8,0.5_adam_wd,0.5,adam,0.0,True
30,0.7083333333333334,f8,0.5_adam_wd,0.5,adam,0.0,True
31,0.5,f8,0.5_adam_wd,0.5,adam,0.0,True
32,0.7125,f8,0.5_adam_wd,0.5,adam,0.0,True
33,0.5,f8,0.5_adam_wd,0.5,adam,0.0,True
34,0.25,f8,0.5_adam_wd,0.5,adam,0.0,True
35,0.5,f8,0.5_adam_wd,0.5,adam,0.0,True
36,0.25,f8,0.5_adam_wd,0.5,adam,0.0,True
37,0.421875,f8,0.5_adam_wd,0.5,adam,0.0,True
38,0.6911764705882353,f8,0.5_adam_wd,0.5,adam,0.0,True
