epoch,auroc,auprc,function,experiment,noise,optimizer,dropout,weight_decay,model_size
1,0.0,0.4,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
2,0.0,0.4,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
3,0.0,0.4,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
4,0.25,0.625,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
5,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
6,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
7,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
8,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
9,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
10,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
11,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
12,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
13,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
14,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
15,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
16,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
17,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
18,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
19,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
20,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
21,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
22,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
23,0.125,0.4375,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
24,0.1875,0.32499999999999996,f2,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small
