epoch,auroc,auprc,function,experiment,noise,optimizer,dropout,weight_decay,model_size
1,0.2,0.7333333333333334,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
2,0.2,0.55,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
3,0.2,0.5022222222222222,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
4,0.2,0.438961038961039,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
5,0.2,0.41666666666666674,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
6,0.2,0.438961038961039,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
7,0.3,0.4763636363636364,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
8,0.3333333333333333,0.4946969696969697,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
9,0.36,0.5523809523809524,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
10,0.36,0.5523809523809524,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
11,0.36666666666666664,0.5280303030303031,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
12,0.35555555555555557,0.445021645021645,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
13,0.37777777777777777,0.4783549783549783,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
14,0.4,0.5616883116883117,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
15,0.4,0.55,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
16,0.4,0.55,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
17,0.4,0.5753846153846154,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
18,0.4,0.5753846153846154,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
19,0.4,0.5753846153846154,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
20,0.4,0.5753846153846154,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
21,0.4,0.5916666666666667,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
22,0.4,0.5753846153846154,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
23,0.4,0.5753846153846154,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
24,0.4,0.5753846153846154,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
25,0.4,0.5753846153846154,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
26,0.4,0.5616883116883117,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
27,0.4,0.5616883116883117,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
28,0.4,0.5753846153846154,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
29,0.4,0.5753846153846154,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
30,0.4,0.5616883116883117,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
31,0.4,0.5616883116883117,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
32,0.4,0.5616883116883117,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
33,0.4,0.5753846153846154,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
34,0.4,0.5616883116883117,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
35,0.4,0.5916666666666667,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
36,0.4,0.5916666666666667,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
37,0.4,0.5616883116883117,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
38,0.4,0.5753846153846154,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
39,0.4,0.5616883116883117,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
40,0.4727272727272727,0.5575793650793651,f4,0.1_sgd_wd,0.1,sgd,0.0,True,small
