epoch,auroc,auprc,function,experiment,noise,optimizer,dropout,weight_decay,model_size
1,0.75,0.8416666666666667,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
2,0.75,0.8839285714285714,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
3,0.75,0.8257575757575757,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
4,0.75,0.8524305555555556,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
5,0.75,0.8416666666666667,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
6,0.75,0.8197115384615384,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
7,0.75,0.8257575757575757,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
8,0.75,0.8416666666666667,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
9,0.75,0.8524305555555556,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
10,0.75,0.8257575757575757,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
11,0.75,0.8028492647058824,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
12,0.75,0.8145604395604396,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
13,0.75,0.8329545454545455,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
14,0.75,0.8660714285714286,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
15,0.7083333333333334,0.7687499999999999,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
16,0.75,0.8524305555555556,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
17,0.75,0.8660714285714286,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
18,0.5,0.6625,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
19,0.5,0.6825396825396826,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
20,0.75,0.8524305555555556,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
21,0.5,0.6625,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
22,0.5,0.6825396825396826,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
23,0.7142857142857143,0.7600378787878788,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
24,0.75,0.8660714285714286,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
25,0.5,0.6333333333333333,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
26,0.5,0.6130952380952381,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
27,0.5,0.6825396825396826,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
28,0.7,0.7795138888888888,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
29,0.5,0.6625,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
30,0.7083333333333334,0.7687499999999999,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
31,0.5,0.6464646464646464,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
32,0.5,0.6464646464646464,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
33,0.5,0.7916666666666666,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
34,0.5,0.6333333333333333,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
35,0.5,0.6625,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
36,0.75,0.8329545454545455,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
37,0.7142857142857143,0.7600378787878788,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
38,0.5,0.6625,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
39,0.5,0.6333333333333333,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
40,0.5,0.6464646464646464,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
41,0.5,0.6625,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
42,0.5,0.592156862745098,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
43,0.5,0.6825396825396826,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
44,0.5,0.6464646464646464,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
45,0.7142857142857143,0.7600378787878788,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
46,0.5,0.6223776223776224,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
47,0.5,0.7083333333333333,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
48,0.75,0.8660714285714286,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
49,0.5,0.6825396825396826,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
50,0.5,0.6825396825396826,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
51,0.5,0.6333333333333333,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
52,0.5,0.6333333333333333,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
53,0.7083333333333334,0.7687499999999999,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
54,0.5,0.7428571428571429,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
55,0.5,0.6130952380952381,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
56,0.5,0.6825396825396826,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
57,0.5,0.7916666666666666,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
58,0.5,0.6625,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
59,0.5,0.7083333333333333,f5,0.2_adam_dp_wd,0.2,adam,0.2,True,small
