epoch,auroc,auprc,function,experiment,noise,optimizer,dropout,weight_decay,model_size
1,0.25,0.5125,f6,1.0_adam_wd,1.0,adam,0.0,True,small
2,0.25,0.47916666666666663,f6,1.0_adam_wd,1.0,adam,0.0,True,small
3,0.375,0.5625,f6,1.0_adam_wd,1.0,adam,0.0,True,small
4,0.375,0.5625,f6,1.0_adam_wd,1.0,adam,0.0,True,small
5,0.35,0.5137896825396826,f6,1.0_adam_wd,1.0,adam,0.0,True,small
6,0.3125,0.5395833333333333,f6,1.0_adam_wd,1.0,adam,0.0,True,small
7,0.35,0.5137896825396826,f6,1.0_adam_wd,1.0,adam,0.0,True,small
8,0.375,0.49375,f6,1.0_adam_wd,1.0,adam,0.0,True,small
9,0.375,0.49375,f6,1.0_adam_wd,1.0,adam,0.0,True,small
10,0.3125,0.5395833333333333,f6,1.0_adam_wd,1.0,adam,0.0,True,small
11,0.3,0.4992063492063492,f6,1.0_adam_wd,1.0,adam,0.0,True,small
12,0.3125,0.5395833333333333,f6,1.0_adam_wd,1.0,adam,0.0,True,small
13,0.35,0.5137896825396826,f6,1.0_adam_wd,1.0,adam,0.0,True,small
14,0.3125,0.5395833333333333,f6,1.0_adam_wd,1.0,adam,0.0,True,small
15,0.4375,0.6041666666666666,f6,1.0_adam_wd,1.0,adam,0.0,True,small
16,0.3125,0.5395833333333333,f6,1.0_adam_wd,1.0,adam,0.0,True,small
17,0.4375,0.6041666666666666,f6,1.0_adam_wd,1.0,adam,0.0,True,small
18,0.25,0.625,f6,1.0_adam_wd,1.0,adam,0.0,True,small
19,0.3125,0.5395833333333333,f6,1.0_adam_wd,1.0,adam,0.0,True,small
20,0.3125,0.5395833333333333,f6,1.0_adam_wd,1.0,adam,0.0,True,small
21,0.25,0.47916666666666663,f6,1.0_adam_wd,1.0,adam,0.0,True,small
22,0.3125,0.5395833333333333,f6,1.0_adam_wd,1.0,adam,0.0,True,small
23,0.4,0.5367063492063492,f6,1.0_adam_wd,1.0,adam,0.0,True,small
24,0.3333333333333333,0.5970238095238095,f6,1.0_adam_wd,1.0,adam,0.0,True,small
25,0.3,0.4992063492063492,f6,1.0_adam_wd,1.0,adam,0.0,True,small
26,0.4166666666666667,0.6386904761904761,f6,1.0_adam_wd,1.0,adam,0.0,True,small
27,0.375,0.5625,f6,1.0_adam_wd,1.0,adam,0.0,True,small
28,0.3125,0.5395833333333333,f6,1.0_adam_wd,1.0,adam,0.0,True,small
29,0.3,0.4992063492063492,f6,1.0_adam_wd,1.0,adam,0.0,True,small
30,0.3125,0.5395833333333333,f6,1.0_adam_wd,1.0,adam,0.0,True,small
31,0.3125,0.5395833333333333,f6,1.0_adam_wd,1.0,adam,0.0,True,small
32,0.375,0.49375,f6,1.0_adam_wd,1.0,adam,0.0,True,small
33,0.3333333333333333,0.47916666666666663,f6,1.0_adam_wd,1.0,adam,0.0,True,small
34,0.25,0.5125,f6,1.0_adam_wd,1.0,adam,0.0,True,small
