epoch,auroc,auprc,function,experiment,noise,optimizer,dropout,weight_decay,model_size
1,0.75,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
2,0.75,0.9083333333333333,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
3,1.0,1.0,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
4,1.0,1.0,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
5,0.75,0.7666666666666666,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
6,0.9166666666666666,0.8708333333333332,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
7,0.8571428571428571,0.73125,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
8,0.9375,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
9,0.9285714285714286,0.8708333333333332,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
10,0.9583333333333334,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
11,0.8125,0.7666666666666666,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
12,0.9285714285714286,0.8708333333333332,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
13,0.8928571428571429,0.7666666666666666,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
14,0.875,0.7666666666666666,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
15,0.75,0.7666666666666666,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
16,0.9285714285714286,0.8708333333333332,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
17,0.75,0.7666666666666666,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
18,0.8125,0.7666666666666666,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
19,0.875,0.8708333333333332,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
20,0.9583333333333334,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
21,0.75,0.8110119047619047,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
22,0.9166666666666666,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
23,0.9166666666666666,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
24,0.9166666666666666,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
25,1.0,1.0,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
26,0.75,0.8660714285714286,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
27,0.9166666666666666,0.8708333333333332,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
28,0.9166666666666666,0.8708333333333332,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
29,1.0,1.0,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
30,0.9375,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
31,0.96875,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
32,0.75,0.8839285714285714,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
33,0.9,0.8708333333333332,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
34,0.95,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
35,0.9583333333333334,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
36,0.9,0.9083333333333333,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
37,0.96875,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
38,0.9166666666666666,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
39,0.9166666666666666,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
40,0.8333333333333334,0.9083333333333333,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
41,0.9583333333333334,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
42,1.0,1.0,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
43,0.95,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
44,0.9583333333333334,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
45,0.85,0.8839285714285714,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
46,0.9166666666666666,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
47,0.9375,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
48,0.85,0.7666666666666666,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
49,0.9166666666666666,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
50,0.8333333333333334,0.8708333333333332,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
51,0.75,0.8660714285714286,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
52,0.95,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
53,0.9,0.8708333333333332,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
54,0.85,0.7666666666666666,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
55,0.9583333333333334,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
56,0.90625,0.8839285714285714,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
57,0.75,0.73125,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
58,1.0,1.0,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
59,0.8333333333333334,0.8708333333333332,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
60,0.9375,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
61,0.9375,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
62,1.0,1.0,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
63,0.9166666666666666,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
64,0.9375,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
65,0.9375,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
66,0.95,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
67,0.9,0.8708333333333332,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
68,0.8333333333333334,0.9083333333333333,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
69,0.9375,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
70,0.9375,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
71,0.9583333333333334,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
72,0.9444444444444444,0.8708333333333332,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
73,0.9642857142857143,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
74,0.9375,0.94375,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
75,0.9166666666666666,0.8708333333333332,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
76,0.8125,0.7666666666666666,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
77,0.9,0.8708333333333332,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
78,0.875,0.7666666666666666,f8,base_sgd_dp_wd,0.0,adam,0.2,True,small
