epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0001.pt,0.07403632253408432,0.6818181818181819,0.501974333662389,0.5,0.7480178394449951,True,
2,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0002.pt,0.053224075585603714,0.7,0.501974333662389,0.5,0.7485133795837462,True,
3,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0003.pt,0.05729588493704796,0.6428571428571428,0.501974333662389,0.5,0.7475222993062438,True,
4,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0004.pt,0.06906897574663162,0.7,0.501974333662389,0.5,0.7485133795837462,True,
5,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0005.pt,0.05977929010987282,0.6333333333333333,0.501974333662389,0.5,0.7472745292368681,True,
6,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0006.pt,0.09085902571678162,0.6666666666666666,0.501974333662389,0.5,0.7480178394449951,True,
7,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0007.pt,0.053263019770383835,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
8,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0008.pt,0.09418858587741852,0.6538461538461539,0.501974333662389,0.5,0.7477700693756195,True,
9,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0009.pt,0.05453943833708763,0.625,0.501974333662389,0.5,0.7470267591674925,True,
10,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0010.pt,0.07942096889019012,0.6538461538461539,0.501974333662389,0.5,0.7477700693756195,True,
11,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0011.pt,0.09315338730812073,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
12,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0012.pt,0.06675255298614502,0.6666666666666666,0.501974333662389,0.5,0.7480178394449951,True,
13,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0013.pt,0.0599939227104187,0.6538461538461539,0.501974333662389,0.5,0.7477700693756195,True,
14,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0014.pt,0.05194192752242088,0.6428571428571428,0.501974333662389,0.5,0.7475222993062438,True,
15,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0015.pt,0.06290359050035477,0.6428571428571428,0.501974333662389,0.5,0.7475222993062438,True,
16,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0016.pt,0.0705440565943718,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
17,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0017.pt,0.07821662724018097,0.6666666666666666,0.501974333662389,0.5,0.7480178394449951,True,
18,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0018.pt,0.08759172260761261,0.7,0.501974333662389,0.5,0.7485133795837462,True,
19,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0019.pt,0.059826359152793884,0.6666666666666666,0.501974333662389,0.5,0.7480178394449951,True,
20,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0020.pt,0.055255260318517685,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
21,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0021.pt,0.0576934777200222,0.75,0.501974333662389,0.5,0.7490089197224976,True,
22,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0022.pt,0.05252714455127716,0.6428571428571428,0.501974333662389,0.5,0.7475222993062438,True,
23,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0023.pt,0.07027732580900192,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
24,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0024.pt,0.07769344002008438,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
25,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0025.pt,0.054933395236730576,0.6538461538461539,0.501974333662389,0.5,0.7477700693756195,True,
26,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0026.pt,0.09737924486398697,0.75,0.501974333662389,0.5,0.7490089197224976,True,
27,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0027.pt,0.07720717787742615,0.75,0.501974333662389,0.5,0.7490089197224976,True,
28,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0028.pt,0.05606648325920105,0.6538461538461539,0.501974333662389,0.5,0.7477700693756195,True,
29,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0029.pt,0.05960666760802269,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
30,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0030.pt,0.06833086907863617,0.7,0.501974333662389,0.5,0.7485133795837462,True,
31,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0031.pt,0.07416490465402603,0.7182539682539683,0.6081300239740516,0.55,0.8733894945490585,True,
32,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0032.pt,0.05200181156396866,0.6904761904761905,0.6081300239740516,0.625,0.8730178394449951,True,
33,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0033.pt,0.06893981993198395,0.7,0.501974333662389,0.5,0.7485133795837462,True,
34,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0034.pt,0.0732656791806221,0.75,0.6259871668311945,0.5625,0.8737611496531219,True,
35,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,snapshots_clean/small/f10/0.1_adam_dp_wd/epoch_0035.pt,0.05610359460115433,0.6666666666666666,0.501974333662389,0.5,0.7480178394449951,True,
