epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0001.pt,0.13873524963855743,0.6785714285714286,0.2529615004935834,0.25,0.6235133795837463,True,
2,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0002.pt,0.10732082277536392,0.8125,0.7509871668311945,0.75,0.8735133795837462,True,
3,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0003.pt,0.0946112722158432,0.8125,0.7509871668311945,0.75,0.8735133795837462,True,
4,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0004.pt,0.10612078756093979,0.95,0.95,0.9750000000000001,0.9997522299306244,True,
5,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0005.pt,0.09078469127416611,0.9166666666666666,0.9166666666666666,0.9545454545454545,0.9995044598612488,True,
6,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0006.pt,0.09062691032886505,0.9166666666666666,0.9166666666666666,0.9285714285714286,0.9995044598612487,True,
7,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0007.pt,0.10177053511142731,1.0,0.8875,1.0,0.9995044598612488,True,
8,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0008.pt,0.09341108053922653,1.0,1.0,1.0,1.0,True,
9,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0009.pt,0.09004826098680496,1.0,1.0,1.0,1.0,True,
10,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0010.pt,0.08506571501493454,1.0,1.0,1.0,1.0,True,
11,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0011.pt,0.08686065673828125,1.0,1.0,1.0,1.0,True,
12,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0012.pt,0.0872156172990799,1.0,1.0,1.0,1.0,True,
13,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0013.pt,0.09210525453090668,1.0,1.0,1.0,1.0,True,
14,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0014.pt,0.08955900371074677,1.0,1.0,1.0,1.0,True,
15,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0015.pt,0.08563432097434998,1.0,1.0,1.0,1.0,True,
16,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0016.pt,0.08548823744058609,1.0,1.0,1.0,1.0,True,
17,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0017.pt,0.08389779180288315,1.0,1.0,1.0,1.0,True,
18,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0018.pt,0.08928588032722473,1.0,1.0,1.0,1.0,True,
19,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0019.pt,0.0888063982129097,1.0,1.0,1.0,1.0,True,
20,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0020.pt,0.08652664721012115,1.0,1.0,1.0,1.0,True,
21,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0021.pt,0.08359181880950928,1.0,1.0,1.0,1.0,True,
22,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0022.pt,0.08252454549074173,1.0,1.0,1.0,1.0,True,
23,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0023.pt,0.08453773707151413,1.0,1.0,1.0,1.0,True,
24,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0024.pt,0.08786603063344955,1.0,1.0,1.0,1.0,True,
25,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0025.pt,0.08332755416631699,1.0,0.95,1.0,0.9997522299306244,True,
26,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0026.pt,0.08695381134748459,1.0,1.0,1.0,1.0,True,
27,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0027.pt,0.08172887563705444,1.0,1.0,1.0,1.0,True,
28,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0028.pt,0.08185157179832458,1.0,1.0,1.0,1.0,True,
29,f10,f10,0.2_adam_wd,0.2,adam,0.0,True,small,snapshots_clean/small/f10/0.2_adam_wd/epoch_0029.pt,0.08015865832567215,1.0,0.95,1.0,0.9997522299306244,True,
