epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0001.pt,0.03180753067135811,0.7986111111111112,0.6509871668311944,0.7000000000000001,0.8737611496531219,True,
2,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0002.pt,0.02287544682621956,0.8125,0.7509871668311945,0.75,0.8735133795837462,True,
3,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0003.pt,0.015184645541012287,1.0,1.0,1.0,1.0,True,
4,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0004.pt,0.011917266063392162,1.0,1.0,1.0,1.0,True,
5,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0005.pt,0.006719537079334259,1.0,1.0,1.0,1.0,True,
6,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0006.pt,0.006061659660190344,1.0,1.0,1.0,1.0,True,
7,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0007.pt,0.006176408845931292,1.0,1.0,1.0,1.0,True,
8,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0008.pt,0.006976322270929813,1.0,1.0,1.0,1.0,True,
9,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0009.pt,0.006358643062412739,1.0,1.0,1.0,1.0,True,
10,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0010.pt,0.005451538600027561,1.0,0.95,1.0,0.9997522299306244,True,
11,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0011.pt,0.005994698498398066,1.0,1.0,1.0,1.0,True,
12,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0012.pt,0.006567197851836681,1.0,1.0,1.0,1.0,True,
13,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0013.pt,0.004405340179800987,1.0,1.0,1.0,1.0,True,
14,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0014.pt,0.004679018631577492,1.0,1.0,1.0,1.0,True,
15,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0015.pt,0.005326681304723024,1.0,1.0,1.0,1.0,True,
16,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0016.pt,0.004464027937501669,1.0,1.0,1.0,1.0,True,
17,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0017.pt,0.004391377326101065,1.0,1.0,1.0,1.0,True,
18,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0018.pt,0.005686142481863499,1.0,1.0,1.0,1.0,True,
19,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0019.pt,0.005853815469890833,1.0,1.0,1.0,1.0,True,
20,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0020.pt,0.0055687339045107365,1.0,1.0,1.0,1.0,True,
21,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0021.pt,0.005531881004571915,1.0,1.0,1.0,1.0,True,
22,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0022.pt,0.004053870216012001,1.0,1.0,1.0,1.0,True,
23,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0023.pt,0.008008572272956371,1.0,1.0,1.0,1.0,True,
24,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0024.pt,0.003995342645794153,1.0,1.0,1.0,1.0,True,
25,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0025.pt,0.005772729404270649,1.0,1.0,1.0,1.0,True,
26,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0026.pt,0.004257791675627232,1.0,1.0,1.0,1.0,True,
27,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0027.pt,0.005208548624068499,1.0,1.0,1.0,1.0,True,
28,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0028.pt,0.0053176130168139935,1.0,1.0,1.0,1.0,True,
29,f10,f10,base_sgd_wd,0.0,sgd,0.0,True,small,snapshots_clean/small/f10/base_sgd_wd/epoch_0029.pt,0.004253929015249014,1.0,1.0,1.0,1.0,True,
