epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f3,f3,1.0_sgd,1.0,sgd,0.0,False,small,snapshots_clean/small/f3/1.0_sgd/epoch_0001.pt,2.914215087890625,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
2,f3,f3,1.0_sgd,1.0,sgd,0.0,False,small,snapshots_clean/small/f3/1.0_sgd/epoch_0002.pt,2.6312477588653564,0.625,0.2529615004935834,0.25,0.6235133795837463,True,
3,f3,f3,1.0_sgd,1.0,sgd,0.0,False,small,snapshots_clean/small/f3/1.0_sgd/epoch_0003.pt,2.5304737091064453,0.625,0.2529615004935834,0.25,0.6231417244796829,True,
4,f3,f3,1.0_sgd,1.0,sgd,0.0,False,small,snapshots_clean/small/f3/1.0_sgd/epoch_0004.pt,2.4909517765045166,0.625,0.2529615004935834,0.25,0.6231417244796829,True,
5,f3,f3,1.0_sgd,1.0,sgd,0.0,False,small,snapshots_clean/small/f3/1.0_sgd/epoch_0005.pt,2.4758012294769287,0.625,0.2529615004935834,0.25,0.6227700693756194,True,
6,f3,f3,1.0_sgd,1.0,sgd,0.0,False,small,snapshots_clean/small/f3/1.0_sgd/epoch_0006.pt,2.4822769165039062,0.625,0.2529615004935834,0.25,0.6227700693756194,True,
7,f3,f3,1.0_sgd,1.0,sgd,0.0,False,small,snapshots_clean/small/f3/1.0_sgd/epoch_0007.pt,2.457679033279419,0.5833333333333333,0.2529615004935834,0.25,0.622398414271556,True,
8,f3,f3,1.0_sgd,1.0,sgd,0.0,False,small,snapshots_clean/small/f3/1.0_sgd/epoch_0008.pt,2.5158913135528564,0.5833333333333333,0.2529615004935834,0.25,0.622398414271556,True,
9,f3,f3,1.0_sgd,1.0,sgd,0.0,False,small,snapshots_clean/small/f3/1.0_sgd/epoch_0009.pt,2.4550528526306152,0.5833333333333333,0.2529615004935834,0.25,0.622398414271556,True,
10,f3,f3,1.0_sgd,1.0,sgd,0.0,False,small,snapshots_clean/small/f3/1.0_sgd/epoch_0010.pt,2.443819522857666,0.625,0.2529615004935834,0.25,0.622398414271556,True,
11,f3,f3,1.0_sgd,1.0,sgd,0.0,False,small,snapshots_clean/small/f3/1.0_sgd/epoch_0011.pt,2.437549352645874,0.625,0.2529615004935834,0.25,0.622398414271556,True,
12,f3,f3,1.0_sgd,1.0,sgd,0.0,False,small,snapshots_clean/small/f3/1.0_sgd/epoch_0012.pt,2.4425761699676514,0.5833333333333333,0.2529615004935834,0.25,0.6220267591674926,True,
13,f3,f3,1.0_sgd,1.0,sgd,0.0,False,small,snapshots_clean/small/f3/1.0_sgd/epoch_0013.pt,2.447173595428467,0.625,0.2529615004935834,0.25,0.622398414271556,True,
14,f3,f3,1.0_sgd,1.0,sgd,0.0,False,small,snapshots_clean/small/f3/1.0_sgd/epoch_0014.pt,2.4541749954223633,0.5833333333333333,0.2529615004935834,0.25,0.6220267591674926,True,
