epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0001.pt,0.0827263742685318,0.5,0.2529615004935834,0.25,0.6216551040634292,True,
2,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0002.pt,0.04939473047852516,0.55,0.37697433366238897,0.47727272727272724,0.7465312190287412,True,
3,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0003.pt,0.03853140398859978,0.5666666666666667,0.38848716683119444,0.6363636363636364,0.8699207135777998,True,
4,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0004.pt,0.036086611449718475,0.6708333333333333,0.4280705001645278,0.7045454545454545,0.8709117938553023,True,
5,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0005.pt,0.03495672717690468,0.7269230769230769,0.5009871668311945,0.6944444444444444,0.871655104063429,True,
6,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0006.pt,0.031245190650224686,0.6651785714285714,0.42955859540262303,0.625,0.869796828543112,True,
7,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0007.pt,0.03529119864106178,0.7644230769230769,0.5009871668311945,0.7222222222222222,0.8715312190287413,True,
8,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0008.pt,0.026073100045323372,0.7463235294117647,0.5759871668311944,0.7307692307692307,0.8709117938553023,True,
9,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0009.pt,0.028300734236836433,0.7986111111111112,0.6416666666666666,0.8333333333333334,0.9955401387512388,True,
10,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0010.pt,0.030132902786135674,0.7269230769230769,0.4858356516796793,0.6944444444444444,0.8709117938553023,True,
11,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0011.pt,0.028053604066371918,0.8541666666666666,0.6904761904761905,0.90625,0.9970267591674926,True,
12,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0012.pt,0.0200990941375494,0.8541666666666666,0.573051948051948,0.8928571428571428,0.9967789890981169,True,
13,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0013.pt,0.020398009568452835,0.95,0.5909090909090909,0.9722222222222222,0.9970267591674926,True,
14,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0014.pt,0.021440820768475533,0.9166666666666666,0.5909090909090909,0.9545454545454545,0.9970267591674926,True,
15,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0015.pt,0.01972208172082901,0.95,0.5583333333333333,0.9642857142857143,0.9965312190287414,True,
16,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0016.pt,0.02059364877641201,0.9166666666666666,0.5769230769230769,0.9285714285714286,0.9965312190287414,True,
17,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0017.pt,0.021728627383708954,0.95,0.5833333333333333,0.96875,0.996778989098117,True,
18,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0018.pt,0.017768921330571175,0.8928571428571428,0.5464285714285715,0.9318181818181819,0.99603567888999,True,
19,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0019.pt,0.01871330663561821,0.8928571428571428,0.5714285714285714,0.875,0.9962834489593657,True,
20,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0020.pt,0.019117487594485283,0.9166666666666666,0.5769230769230769,0.875,0.9965312190287413,True,
21,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0021.pt,0.017511727288365364,0.9166666666666666,0.5769230769230769,0.9,0.9965312190287413,True,
22,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0022.pt,0.019724249839782715,0.95,0.5833333333333333,0.9375,0.9967789890981169,True,
23,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0023.pt,0.01695820689201355,0.9166666666666666,0.5769230769230769,0.9,0.9965312190287413,True,
24,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0024.pt,0.016562923789024353,0.95,0.5583333333333333,0.9583333333333334,0.9965312190287413,True,
25,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0025.pt,0.019459500908851624,0.95,0.5583333333333333,0.9500000000000001,0.9965312190287413,True,
26,f3,f3,base_adam,0.0,adam,0.0,False,small,snapshots_clean/small/f3/base_adam/epoch_0026.pt,0.018056519329547882,0.95,0.5833333333333333,0.9500000000000001,0.9967789890981169,True,
