epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0001.pt,1.6613165140151978,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
2,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0002.pt,1.2134883403778076,0.9,0.501974333662389,0.5,0.7497522299306243,True,
3,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0003.pt,0.9663090705871582,0.7857142857142857,0.501974333662389,0.5,0.7492566897918732,True,
4,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0004.pt,0.8926398754119873,0.8333333333333333,0.501974333662389,0.5,0.7495044598612487,True,
5,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0005.pt,0.8078916668891907,0.75,0.501974333662389,0.5,0.7490089197224976,True,
6,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0006.pt,0.7631068229675293,0.7857142857142857,0.501974333662389,0.5,0.7492566897918732,True,
7,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0007.pt,0.7277031540870667,0.75,0.501974333662389,0.5,0.7490089197224976,True,
8,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0008.pt,0.6934989094734192,0.7,0.501974333662389,0.5,0.7485133795837462,True,
9,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0009.pt,0.7162094116210938,0.7,0.501974333662389,0.5,0.7485133795837462,True,
10,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0010.pt,0.6529009938240051,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
11,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0011.pt,0.6308223009109497,0.7,0.501974333662389,0.5,0.7485133795837462,True,
12,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0012.pt,0.6271612048149109,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
13,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0013.pt,0.6377567052841187,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
14,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0014.pt,0.6313220262527466,0.6666666666666666,0.501974333662389,0.5,0.7477700693756195,True,
15,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0015.pt,0.6152325868606567,0.6818181818181819,0.501974333662389,0.5,0.7480178394449951,True,
16,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0016.pt,0.6789533495903015,0.6538461538461539,0.501974333662389,0.5,0.7475222993062438,True,
17,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0017.pt,0.6322791576385498,0.6333333333333333,0.501974333662389,0.5,0.7470267591674925,True,
18,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0018.pt,0.5783730149269104,0.6538461538461539,0.501974333662389,0.5,0.7475222993062438,True,
19,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0019.pt,0.6216204762458801,0.6538461538461539,0.501974333662389,0.5,0.7475222993062438,True,
20,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0020.pt,0.6048554182052612,0.6538461538461539,0.501974333662389,0.5,0.7475222993062438,True,
21,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0021.pt,0.6671345233917236,0.6666666666666666,0.501974333662389,0.5,0.7477700693756195,True,
22,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0022.pt,0.6010501980781555,0.6428571428571428,0.501974333662389,0.5,0.7472745292368681,True,
23,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0023.pt,0.6220405101776123,0.6538461538461539,0.501974333662389,0.5,0.7475222993062438,True,
24,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0024.pt,0.5920278429985046,0.6538461538461539,0.501974333662389,0.5,0.7475222993062438,True,
25,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0025.pt,0.6239333748817444,0.6538461538461539,0.501974333662389,0.5,0.7475222993062438,True,
26,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0026.pt,0.6424740552902222,0.6666666666666666,0.501974333662389,0.5,0.7477700693756195,True,
27,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0027.pt,0.6336405873298645,0.6818181818181819,0.501974333662389,0.5,0.7480178394449951,True,
28,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0028.pt,0.6943557262420654,0.6538461538461539,0.501974333662389,0.5,0.7475222993062438,True,
29,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0029.pt,0.6014454960823059,0.7,0.501974333662389,0.5,0.7482656095143706,True,
30,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0030.pt,0.6534106135368347,0.7222222222222222,0.501974333662389,0.5,0.7485133795837462,True,
31,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0031.pt,0.5987957119941711,0.6818181818181819,0.501974333662389,0.5,0.7480178394449951,True,
32,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0032.pt,0.74215167760849,0.7222222222222222,0.501974333662389,0.5,0.7485133795837462,True,
33,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0033.pt,0.7108350992202759,0.7222222222222222,0.501974333662389,0.5,0.7485133795837462,True,
34,f6,f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,snapshots_clean/small/f6/0.2_sgd_dp_wd/epoch_0034.pt,0.7199218273162842,0.7222222222222222,0.501974333662389,0.5,0.7485133795837462,True,
