epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0001.pt,3.3203961849212646,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
2,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0002.pt,3.2721729278564453,0.7857142857142857,0.501974333662389,0.5,0.7492566897918732,True,
3,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0003.pt,3.1775078773498535,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
4,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0004.pt,3.038022518157959,0.7857142857142857,0.501974333662389,0.5,0.7492566897918732,True,
5,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0005.pt,3.1101748943328857,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
6,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0006.pt,3.045410394668579,0.7,0.501974333662389,0.5,0.7485133795837462,True,
7,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0007.pt,3.18939471244812,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
8,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0008.pt,3.1026663780212402,0.75,0.501974333662389,0.5,0.7490089197224976,True,
9,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0009.pt,3.0174500942230225,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
10,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0010.pt,3.032801628112793,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
11,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0011.pt,3.0006842613220215,0.7,0.501974333662389,0.5,0.7485133795837462,True,
12,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0012.pt,3.395078659057617,0.7,0.501974333662389,0.5,0.7485133795837462,True,
13,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0013.pt,3.080120086669922,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
14,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0014.pt,3.052741765975952,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
15,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0015.pt,3.174046516418457,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
16,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0016.pt,3.022738218307495,0.75,0.501974333662389,0.5,0.7490089197224976,True,
17,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0017.pt,3.1098392009735107,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
18,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0018.pt,2.9918651580810547,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
19,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0019.pt,3.0435736179351807,0.75,0.501974333662389,0.5,0.7490089197224976,True,
20,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0020.pt,3.4600532054901123,0.6666666666666666,0.501974333662389,0.5,0.7480178394449951,True,
21,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0021.pt,3.1668694019317627,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
22,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0022.pt,3.164260149002075,0.75,0.501974333662389,0.5,0.7490089197224976,True,
23,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0023.pt,3.0885977745056152,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
24,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0024.pt,3.5219924449920654,0.7,0.501974333662389,0.5,0.7485133795837462,True,
25,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0025.pt,3.055000066757202,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
26,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0026.pt,3.008352041244507,0.7,0.501974333662389,0.5,0.7485133795837462,True,
27,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0027.pt,3.0438530445098877,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
28,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0028.pt,3.0480191707611084,0.75,0.501974333662389,0.5,0.7490089197224976,True,
29,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0029.pt,3.6613717079162598,0.75,0.501974333662389,0.5,0.7490089197224976,True,
30,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0030.pt,3.1703479290008545,0.7,0.501974333662389,0.5,0.7485133795837462,True,
31,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0031.pt,3.4716796875,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
32,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0032.pt,3.2584500312805176,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
33,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0033.pt,3.0726559162139893,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
34,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0034.pt,2.9825804233551025,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
35,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0035.pt,3.5231235027313232,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
36,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0036.pt,3.0579464435577393,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
37,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0037.pt,3.029763698577881,0.7,0.501974333662389,0.5,0.7485133795837462,True,
38,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0038.pt,3.3269312381744385,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
39,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0039.pt,3.4472196102142334,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
40,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0040.pt,3.4679455757141113,0.7,0.501974333662389,0.5,0.7485133795837462,True,
41,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0041.pt,3.292605400085449,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
42,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0042.pt,3.490133047103882,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
43,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0043.pt,3.3701910972595215,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
44,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0044.pt,3.125478506088257,0.75,0.501974333662389,0.5,0.7490089197224976,True,
45,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0045.pt,3.3392255306243896,0.75,0.501974333662389,0.5,0.7490089197224976,True,
46,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0046.pt,3.358238935470581,0.75,0.501974333662389,0.5,0.7490089197224976,True,
47,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0047.pt,3.296003580093384,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
48,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0048.pt,3.62558913230896,0.7,0.501974333662389,0.5,0.7485133795837462,True,
49,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0049.pt,3.072190523147583,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
50,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0050.pt,3.2588934898376465,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
51,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0051.pt,3.0283706188201904,0.75,0.501974333662389,0.5,0.7490089197224976,True,
52,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0052.pt,3.472036838531494,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
53,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0053.pt,3.535635471343994,0.75,0.501974333662389,0.5,0.7490089197224976,True,
54,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0054.pt,3.3505072593688965,0.7,0.501974333662389,0.5,0.7485133795837462,True,
55,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0055.pt,3.586582660675049,0.7857142857142857,0.501974333662389,0.5,0.7492566897918732,True,
56,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0056.pt,3.282747983932495,0.75,0.501974333662389,0.5,0.7490089197224976,True,
57,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0057.pt,3.6078901290893555,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
58,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0058.pt,3.392563819885254,0.7857142857142857,0.501974333662389,0.5,0.7492566897918732,True,
59,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0059.pt,3.2535741329193115,0.75,0.501974333662389,0.5,0.7490089197224976,True,
60,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0060.pt,4.018259525299072,0.7857142857142857,0.501974333662389,0.5,0.7492566897918732,True,
61,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0061.pt,3.2692389488220215,0.7857142857142857,0.501974333662389,0.5,0.7492566897918732,True,
62,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0062.pt,3.053692102432251,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
63,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0063.pt,3.2082836627960205,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
64,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0064.pt,3.6508023738861084,0.75,0.501974333662389,0.5,0.7490089197224976,True,
65,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0065.pt,3.468424081802368,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
66,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0066.pt,3.205528974533081,0.75,0.501974333662389,0.5,0.7490089197224976,True,
67,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0067.pt,3.254160165786743,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
68,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0068.pt,3.2365190982818604,0.7,0.501974333662389,0.5,0.7485133795837462,True,
69,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0069.pt,3.96490478515625,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
70,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0070.pt,4.09677267074585,0.7857142857142857,0.501974333662389,0.5,0.7492566897918732,True,
71,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0071.pt,3.2008023262023926,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
72,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0072.pt,3.0217461585998535,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
73,f6,f6,0.5_adam_dp,0.5,adam,0.2,False,small,snapshots_clean/small/f6/0.5_adam_dp/epoch_0073.pt,3.203395128250122,0.6818181818181819,0.501974333662389,0.5,0.7482656095143706,True,
