epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0001.pt,1.1561814546585083,0.8500000000000001,0.2529615004935834,0.25,0.6246283448959365,True,
2,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0002.pt,0.6925361156463623,0.75,0.2529615004935834,0.25,0.6242566897918731,True,
3,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0003.pt,0.4033344089984894,0.7023809523809523,0.4186410003290556,0.4166666666666667,0.7490089197224976,True,
4,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0004.pt,0.32221361994743347,0.7023809523809523,0.4186410003290556,0.4166666666666667,0.7490089197224976,True,
5,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0005.pt,0.2709713280200958,0.625,0.2529615004935834,0.25,0.6235133795837463,True,
6,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0006.pt,0.2569858729839325,0.6607142857142857,0.37697433366238897,0.33333333333333337,0.748761149653122,True,
7,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0007.pt,0.21193604171276093,0.6607142857142857,0.37697433366238897,0.33333333333333337,0.748761149653122,True,
8,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0008.pt,0.19985705614089966,0.6607142857142857,0.37697433366238897,0.33333333333333337,0.748761149653122,True,
9,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0009.pt,0.17420566082000732,0.625,0.37697433366238897,0.375,0.7485133795837463,True,
10,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0010.pt,0.1647627353668213,0.625,0.37697433366238897,0.375,0.7485133795837463,True,
11,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0011.pt,0.1536463499069214,0.6388888888888888,0.41864100032905555,0.45,0.7485133795837463,True,
12,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0012.pt,0.14229898154735565,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
13,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0013.pt,0.13544799387454987,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
14,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0014.pt,0.12199954688549042,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
15,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0015.pt,0.11268249154090881,0.7222222222222222,0.501974333662389,0.5,0.7487611496531219,True,
16,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0016.pt,0.10732413083314896,0.7,0.501974333662389,0.5,0.7485133795837462,True,
17,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0017.pt,0.10598284006118774,0.7,0.501974333662389,0.5,0.7482656095143706,True,
18,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0018.pt,0.09122288227081299,0.7222222222222222,0.501974333662389,0.5,0.7485133795837462,True,
19,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0019.pt,0.0890059769153595,0.7222222222222222,0.501974333662389,0.5,0.7485133795837462,True,
20,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0020.pt,0.08409769833087921,0.7222222222222222,0.501974333662389,0.5,0.7485133795837462,True,
21,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0021.pt,0.07198584079742432,0.7222222222222222,0.501974333662389,0.5,0.7485133795837462,True,
22,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0022.pt,0.08224017173051834,0.7222222222222222,0.501974333662389,0.5,0.7485133795837462,True,
23,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0023.pt,0.06352611631155014,0.75,0.501974333662389,0.5,0.7490089197224976,True,
24,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0024.pt,0.05919639766216278,0.75,0.501974333662389,0.5,0.7490089197224976,True,
25,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0025.pt,0.05519111454486847,0.75,0.501974333662389,0.5,0.7490089197224976,True,
26,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0026.pt,0.053089745342731476,0.75,0.501974333662389,0.5,0.7490089197224976,True,
27,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0027.pt,0.0475858636200428,0.75,0.501974333662389,0.5,0.7490089197224976,True,
28,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0028.pt,0.04678166285157204,0.75,0.501974333662389,0.5,0.7490089197224976,True,
29,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0029.pt,0.04470715671777725,0.75,0.501974333662389,0.5,0.7490089197224976,True,
30,f6,f6,base_sgd,0.0,sgd,0.0,False,small,snapshots_clean/small/f6/base_sgd/epoch_0030.pt,0.04546748846769333,0.75,0.501974333662389,0.5,0.7490089197224976,True,
