success,function_name,function,wd_experiment,noise,optimizer,dropout,weight_decay,model_size,best_epoch,checkpoint_path,wd_val_loss,wd_auprc_full,wd_auroc,auroc_full,num_gt,num_detected,num_candidates,error,source_file,weight_decay_bool,base_experiment,base_auprc_full,base_auroc,base_val_loss,delta_auprc_full,delta_auroc,delta_val_loss,wd_better_auprc,wd_better_auroc,wd_better_val_loss,wd_meaningful_auprc_gain,wd_meaningful_auprc_loss
True,f9,f9,0.1_adam_wd,0.1,adam,0.0,True,small,90,snapshots_clean/small/f9/0.1_adam_wd/best_epoch_0090.pt,0.0294081605970859,0.501974333662389,0.5,0.7480178394449951,4,10,1013,,results/small/f9_analysis.csv,True,0.1_adam,0.501974333662389,0.5,0.0289294216781854,0.0,0.0,0.0004787389189005002,False,False,False,False,False
True,f9,f9,0.1_adam_dp_wd,0.1,adam,0.2,True,small,84,snapshots_clean/small/f9/0.1_adam_dp_wd/best_epoch_0084.pt,0.0482030101120471,0.501974333662389,0.5,0.7475222993062438,4,12,1013,,results/small/f9_analysis.csv,True,0.1_adam_dp,0.501974333662389,0.5,0.0486428067088127,0.0,0.0,-0.00043979659676560146,False,False,True,False,False
True,f9,f9,0.1_sgd_dp_wd,0.1,sgd,0.2,True,small,92,snapshots_clean/small/f9/0.1_sgd_dp_wd/best_epoch_0092.pt,0.0394050627946853,0.501974333662389,0.5,0.7482656095143706,4,9,1013,,results/small/f9_analysis.csv,True,0.1_sgd_dp,0.501974333662389,0.5,0.0405674465000629,0.0,0.0,-0.0011623837053775996,False,False,True,False,False
True,f9,f9,0.2_adam_wd,0.2,adam,0.0,True,small,67,snapshots_clean/small/f9/0.2_adam_wd/best_epoch_0067.pt,0.0831998288631439,0.501974333662389,0.5,0.7472745292368681,4,13,1013,,results/small/f9_analysis.csv,True,0.2_adam,0.501974333662389,0.5,0.0791942328214645,0.0,0.0,0.004005596041679396,False,False,False,False,False
True,f9,f9,0.2_adam_dp_wd,0.2,adam,0.2,True,small,86,snapshots_clean/small/f9/0.2_adam_dp_wd/best_epoch_0086.pt,0.0993695259094238,0.501974333662389,0.5,0.7482656095143706,4,9,1013,,results/small/f9_analysis.csv,True,0.2_adam_dp,0.501974333662389,0.5,0.0986256822943687,0.0,0.0,0.0007438436150550981,False,False,False,False,False
True,f9,f9,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,95,snapshots_clean/small/f9/0.2_sgd_dp_wd/best_epoch_0095.pt,0.0885177254676818,0.501974333662389,0.5,0.7472745292368681,4,13,1013,,results/small/f9_analysis.csv,True,0.2_sgd_dp,0.501974333662389,0.5,0.0895133912563324,0.0,0.0,-0.000995665788650596,False,False,True,False,False
True,f9,f9,0.5_adam_wd,0.5,adam,0.0,True,small,100,snapshots_clean/small/f9/0.5_adam_wd/best_epoch_0100.pt,0.4313850402832031,0.501974333662389,0.5,0.744796828543112,4,23,1013,,results/small/f9_analysis.csv,True,0.5_adam,0.5759871668311944,0.7250000000000001,0.4320741891860962,-0.07401283316880547,-0.2250000000000001,-0.0006891489028930664,False,False,True,False,True
True,f9,f9,0.5_adam_dp_wd,0.5,adam,0.2,True,small,98,snapshots_clean/small/f9/0.5_adam_dp_wd/best_epoch_0098.pt,0.4525898098945617,0.501974333662389,0.5,0.7475222993062438,4,12,1013,,results/small/f9_analysis.csv,True,0.5_adam_dp,0.501974333662389,0.5,0.4511556923389435,0.0,0.0,0.0014341175556182306,False,False,False,False,False
True,f9,f9,0.5_sgd_dp_wd,0.5,sgd,0.2,True,small,94,snapshots_clean/small/f9/0.5_sgd_dp_wd/best_epoch_0094.pt,0.4354814291000366,0.501974333662389,0.5,0.7475222993062438,4,12,1013,,results/small/f9_analysis.csv,True,0.5_sgd_dp,0.501974333662389,0.5,0.436130166053772,0.0,0.0,-0.0006487369537353516,False,False,True,False,False
True,f9,f9,1.0_adam_wd,1.0,adam,0.0,True,small,36,snapshots_clean/small/f9/1.0_adam_wd/best_epoch_0036.pt,1.678907871246338,0.501974333662389,0.5,0.7472745292368681,4,13,1013,,results/small/f9_analysis.csv,True,1.0_adam,0.501974333662389,0.5,1.667932391166687,0.0,0.0,0.010975480079650879,False,False,False,False,False
True,f9,f9,1.0_adam_dp_wd,1.0,adam,0.2,True,small,75,snapshots_clean/small/f9/1.0_adam_dp_wd/best_epoch_0075.pt,1.6838364601135254,0.501974333662389,0.5,0.7477700693756195,4,11,1013,,results/small/f9_analysis.csv,True,1.0_adam_dp,0.501974333662389,0.5,1.686263918876648,0.0,0.0,-0.0024274587631225586,False,False,True,False,False
True,f9,f9,1.0_sgd_dp_wd,1.0,sgd,0.2,True,small,82,snapshots_clean/small/f9/1.0_sgd_dp_wd/best_epoch_0082.pt,1.6662237644195557,0.501974333662389,0.5,0.7482656095143706,4,9,1013,,results/small/f9_analysis.csv,True,1.0_sgd_dp,0.501974333662389,0.5,1.664432406425476,0.0,0.0,0.0017913579940795898,False,False,False,False,False
True,f9,f9,base_sgd_wd,0.0,sgd,0.0,True,small,96,snapshots_clean/small/f9/base_sgd_wd/best_epoch_0096.pt,0.0112407952547073,0.501974333662389,0.5,0.7475222993062438,4,12,1013,,results/small/f9_analysis.csv,True,base_sgd,0.501974333662389,0.5,0.0128986556082963,0.0,0.0,-0.0016578603535890007,False,False,True,False,False
True,f9,f9,base_sgd_dp_wd,0.0,sgd,0.2,True,small,80,snapshots_clean/small/f9/base_sgd_dp_wd/best_epoch_0080.pt,0.0317400731146335,0.501974333662389,0.5,0.7470267591674925,4,14,1013,,results/small/f9_analysis.csv,True,base_sgd_dp,0.501974333662389,0.5,0.0302465874701738,0.0,0.0,0.0014934856444596967,False,False,False,False,False
True,f9,f9,0.1_sgd_wd,0.1,sgd,0.0,True,small,98,snapshots_clean/small/f9/0.1_sgd_wd/best_epoch_0098.pt,0.0309532228857278,0.501974333662389,0.5,0.7467789890981169,4,15,1013,,results/small/f9_analysis.csv,True,0.1_sgd,0.501974333662389,0.5,0.0303970798850059,0.0,0.0,0.0005561430007219002,False,False,False,False,False
True,f9,f9,0.2_sgd_wd,0.2,sgd,0.0,True,small,100,snapshots_clean/small/f9/0.2_sgd_wd/best_epoch_0100.pt,0.0823809206485748,0.501974333662389,0.5,0.7485133795837462,4,8,1013,,results/small/f9_analysis.csv,True,0.2_sgd,0.501974333662389,0.5,0.0809035524725914,0.0,0.0,0.0014773681759834012,False,False,False,False,False
True,f9,f9,0.5_sgd_wd,0.5,sgd,0.0,True,small,100,snapshots_clean/small/f9/0.5_sgd_wd/best_epoch_0100.pt,0.4339364767074585,0.501974333662389,0.5,0.7485133795837462,4,8,1013,,results/small/f9_analysis.csv,True,0.5_sgd,0.501974333662389,0.5,0.4334090650081634,0.0,0.0,0.0005274116992950995,False,False,False,False,False
True,f9,f9,1.0_sgd_wd,1.0,sgd,0.0,True,small,41,snapshots_clean/small/f9/1.0_sgd_wd/best_epoch_0041.pt,1.6676374673843384,0.501974333662389,0.5,0.7495044598612487,4,4,1013,,results/small/f9_analysis.csv,True,1.0_sgd,0.501974333662389,0.5,1.6595765352249146,0.0,0.0,0.008060932159423828,False,False,False,False,False
True,f8,f8,0.1_adam_wd,0.1,adam,0.0,True,small,42,snapshots_clean/small/f8/0.1_adam_wd/best_epoch_0042.pt,0.0483857728540897,1.0,1.0,1.0,4,13,1013,,results/small/f8_analysis.csv,True,0.1_adam,1.0,1.0,0.0464369393885135,0.0,0.0,0.0019488334655761996,False,False,False,False,False
True,f8,f8,0.1_adam_dp_wd,0.1,adam,0.2,True,small,27,snapshots_clean/small/f8/0.1_adam_dp_wd/best_epoch_0027.pt,0.0780178010463714,0.7470238095238095,0.9166666666666669,0.998761149653122,4,11,1013,,results/small/f8_analysis.csv,True,0.1_adam_dp,0.6083333333333333,0.9444444444444444,0.0920238867402076,0.13869047619047625,-0.027777777777777568,-0.014006085693836198,True,False,True,True,False
True,f8,f8,0.1_sgd_dp_wd,0.1,sgd,0.2,True,small,100,snapshots_clean/small/f8/0.1_sgd_dp_wd/best_epoch_0100.pt,0.0551816448569297,0.6791666666666667,1.0,0.9990089197224976,4,9,1013,,results/small/f8_analysis.csv,True,0.1_sgd_dp,0.6791666666666667,1.0,0.0569046288728714,0.0,0.0,-0.0017229840159416962,False,False,True,False,False
True,f8,f8,0.2_adam_wd,0.2,adam,0.0,True,small,88,snapshots_clean/small/f8/0.2_adam_wd/best_epoch_0088.pt,0.1735799312591552,1.0,1.0,1.0,4,12,1013,,results/small/f8_analysis.csv,True,0.2_adam,1.0,1.0,0.1708852052688598,0.0,0.0,0.0026947259902953824,False,False,False,False,False
True,f8,f8,0.2_adam_dp_wd,0.2,adam,0.2,True,small,29,snapshots_clean/small/f8/0.2_adam_dp_wd/best_epoch_0029.pt,0.210237830877304,0.4801538334978611,0.75,0.873637264618434,4,8,1013,,results/small/f8_analysis.csv,True,0.2_adam_dp,0.8041666666666667,1.0,0.1984689384698867,-0.3240128331688056,-0.25,0.011768892407417297,False,False,False,False,True
True,f8,f8,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,96,snapshots_clean/small/f8/0.2_sgd_dp_wd/best_epoch_0096.pt,0.1797022521495819,0.6791666666666667,1.0,0.9990089197224976,4,10,1013,,results/small/f8_analysis.csv,True,0.2_sgd_dp,0.6791666666666667,1.0,0.1819236427545547,0.0,0.0,-0.002221390604972784,False,False,True,False,False
True,f8,f8,0.5_adam_wd,0.5,adam,0.0,True,small,98,snapshots_clean/small/f8/0.5_adam_wd/best_epoch_0098.pt,1.0423063039779663,1.0,1.0,1.0,4,14,1013,,results/small/f8_analysis.csv,True,0.5_adam,0.8041666666666667,1.0,1.0312705039978027,0.1958333333333333,0.0,0.011035799980163574,True,False,False,True,False
True,f8,f8,0.5_adam_dp_wd,0.5,adam,0.2,True,small,95,snapshots_clean/small/f8/0.5_adam_dp_wd/best_epoch_0095.pt,1.0687501430511477,0.4009871668311944,0.5,0.8733894945490586,4,6,1013,,results/small/f8_analysis.csv,True,0.5_adam_dp,0.5426538334978611,0.6666666666666666,1.069753885269165,-0.14166666666666672,-0.16666666666666663,-0.001003742218017356,False,False,True,False,True
True,f8,f8,0.5_sgd_dp_wd,0.5,sgd,0.2,True,small,98,snapshots_clean/small/f8/0.5_sgd_dp_wd/best_epoch_0098.pt,1.0375964641571045,0.4801538334978611,0.75,0.8738850346878098,4,6,1013,,results/small/f8_analysis.csv,True,0.5_sgd_dp,0.4801538334978611,0.75,1.0345127582550049,0.0,0.0,0.0030837059020996094,False,False,False,False,False
True,f8,f8,1.0_adam_wd,1.0,adam,0.0,True,small,53,snapshots_clean/small/f8/1.0_adam_wd/best_epoch_0053.pt,4.1057305335998535,0.3769743336623889,0.5,0.7482656095143707,4,7,1013,,results/small/f8_analysis.csv,True,1.0_adam,0.7509871668311945,0.75,4.098049163818359,-0.37401283316880557,-0.25,0.007681369781494141,False,False,False,False,True
True,f8,f8,1.0_adam_dp_wd,1.0,adam,0.2,True,small,25,snapshots_clean/small/f8/1.0_adam_dp_wd/best_epoch_0025.pt,4.124577522277832,0.2936410003290556,0.5,0.7485133795837463,4,6,1013,,results/small/f8_analysis.csv,True,1.0_adam_dp,0.0039486673247778,0.0,4.159257888793945,0.2896923330042778,0.5,-0.03468036651611328,True,True,True,True,False
True,f8,f8,1.0_sgd_dp_wd,1.0,sgd,0.2,True,small,90,snapshots_clean/small/f8/1.0_sgd_dp_wd/best_epoch_0090.pt,4.082263469696045,0.4801538334978611,0.75,0.8740089197224975,4,5,1013,,results/small/f8_analysis.csv,True,1.0_sgd_dp,0.4801538334978611,0.75,4.090480804443359,0.0,0.0,-0.008217334747314453,False,False,True,False,False
True,f8,f8,base_sgd_wd,0.0,sgd,0.0,True,small,42,snapshots_clean/small/f8/base_sgd_wd/best_epoch_0042.pt,0.0044202539138495,1.0,1.0,1.0,4,17,1013,,results/small/f8_analysis.csv,True,base_sgd,1.0,1.0,0.0062412405386567,0.0,0.0,-0.0018209866248072,False,False,True,False,False
True,f8,f8,base_sgd_dp_wd,0.0,sgd,0.2,True,small,54,snapshots_clean/small/f8/base_sgd_dp_wd/best_epoch_0054.pt,0.0354636907577514,0.5666666666666667,0.8500000000000001,0.9982656095143706,4,10,1013,,results/small/f8_analysis.csv,True,base_sgd_dp,0.6458333333333333,1.0,0.0497532486915588,-0.07916666666666661,-0.1499999999999999,-0.0142895579338074,False,False,True,False,True
True,f8,f8,0.1_sgd_wd,0.1,sgd,0.0,True,small,97,snapshots_clean/small/f8/0.1_sgd_wd/best_epoch_0097.pt,0.047947771847248,0.3343205001645278,0.6875,0.8725222993062438,4,9,1013,,results/small/f8_analysis.csv,True,0.1_sgd,0.6458333333333333,0.9375,0.049027219414711,-0.31151283316880546,-0.25,-0.0010794475674629975,False,False,True,False,True
True,f8,f8,0.2_sgd_wd,0.2,sgd,0.0,True,small,98,snapshots_clean/small/f8/0.2_sgd_wd/best_epoch_0098.pt,0.1728769242763519,0.525,1.0,0.998017839444995,4,10,1013,,results/small/f8_analysis.csv,True,0.2_sgd,0.6083333333333333,1.0,0.1737465560436248,-0.08333333333333326,0.0,-0.0008696317672728937,False,False,True,False,True
True,f8,f8,0.5_sgd_wd,0.5,sgd,0.0,True,small,63,snapshots_clean/small/f8/0.5_sgd_wd/best_epoch_0063.pt,1.029873609542847,0.4426538334978611,0.625,0.8736372646184342,4,6,1013,,results/small/f8_analysis.csv,True,0.5_sgd,0.3593205001645277,0.75,1.0403225421905518,0.08333333333333337,-0.125,-0.010448932647704856,True,False,True,True,False
True,f8,f8,1.0_sgd_wd,1.0,sgd,0.0,True,small,28,snapshots_clean/small/f8/1.0_sgd_wd/best_epoch_0028.pt,4.100907802581787,0.2529615004935834,0.25,0.6242566897918731,4,3,1013,,results/small/f8_analysis.csv,True,1.0_sgd,0.2529615004935834,0.25,4.087691783905029,0.0,0.0,0.013216018676757812,False,False,False,False,False
True,f10,f10,0.1_adam_wd,0.1,adam,0.0,True,small,66,snapshots_clean/small/f10/0.1_adam_wd/best_epoch_0066.pt,0.0230836365371942,1.0,1.0,1.0,4,11,1013,,results/small/f10_analysis.csv,True,0.1_adam,1.0,1.0,0.0226199552416801,0.0,0.0,0.0004636812955140998,False,False,False,False,False
True,f10,f10,0.1_adam_dp_wd,0.1,adam,0.2,True,small,44,snapshots_clean/small/f10/0.1_adam_dp_wd/best_epoch_0044.pt,0.0475969836115837,0.6259871668311945,0.625,0.8735133795837463,4,9,1013,,results/small/f10_analysis.csv,True,0.1_adam_dp,0.501974333662389,0.5,0.0490749031305313,0.12401283316880551,0.125,-0.0014779195189475944,True,True,True,True,False
