model_size,optimizer,dropout,noise,n_comparisons,mean_delta_auprc,std_delta_auprc,median_delta_auprc,pct_wd_better_auprc,pct_meaningful_gain,pct_meaningful_loss,mean_delta_auroc,pct_wd_better_auroc,mean_delta_val_loss,pct_wd_better_val_loss
big,adam,0.0,0.1,10,-0.06680604522164243,0.19684206481931135,0.0,20.0,20.0,40.0,-0.028817016317016303,10.0,0.0013545368332415788,0.0
big,adam,0.0,0.2,10,0.054482864357864355,0.1546215914747842,0.008928571428571397,50.0,50.0,10.0,-0.008680555555555558,20.0,0.002339872904121859,0.0
big,adam,0.0,0.5,10,0.03863058987738157,0.14602086129743494,0.0005952380952381486,50.0,40.0,20.0,0.06864087301587299,60.0,-0.0010404646396636797,50.0
big,adam,0.0,1.0,10,-0.050239564236355935,0.14094050655626128,-0.03749999999999998,20.0,20.0,50.0,-0.06325089126559715,10.0,-0.006555047631263783,70.0
big,adam,0.2,0.1,10,0.01916666666666668,0.15716012324986892,0.0,20.0,20.0,10.0,0.014460227272727291,40.0,7.048211991788483e-05,60.0
big,adam,0.2,0.2,10,-0.04083333333333334,0.07759900088449338,0.0,0.0,0.0,30.0,-0.007945804195804207,10.0,-0.00508506447076798,50.0
big,adam,0.2,0.5,10,0.016666666666666666,0.17700012612437208,0.0,30.0,30.0,30.0,0.015496031746031761,30.0,0.001772411167621607,30.0
big,adam,0.2,1.0,10,-0.03666666666666667,0.09314352327213289,0.0,10.0,10.0,30.0,-0.0004563492063492103,10.0,-0.004527908563613891,50.0
big,sgd,0.0,0.0,10,0.02704117700057975,0.24116218991562005,0.0444444444444444,50.0,50.0,40.0,0.03398809523809524,50.0,-0.0004418394062668,70.0
big,sgd,0.0,0.1,10,-0.0006633661665744556,0.15671708354788058,-0.009494047619047624,50.0,50.0,50.0,-0.00818362193362196,30.0,-0.0003351676743477804,60.0
big,sgd,0.0,0.2,10,0.037863559441545645,0.20995484990573016,0.00855403563202184,50.0,50.0,30.0,0.10641025641025639,60.0,0.0003110093995928688,30.0
big,sgd,0.0,0.5,10,-0.04813589996709446,0.09799396664341686,0.0,10.0,10.0,40.0,-0.045,10.0,0.0011459484696388273,60.0
big,sgd,0.0,1.0,10,-0.037401283316880564,0.08409243006310228,0.0,0.0,0.0,20.0,-0.025,0.0,-0.0011842519044876266,70.0
big,sgd,0.2,0.0,10,-0.011507936507936512,0.11839051540839783,0.0,10.0,10.0,40.0,0.025885364635364633,20.0,0.00152387563139199,50.0
big,sgd,0.2,0.1,10,-0.07206369843549014,0.14128880495741866,0.0,10.0,10.0,40.0,-0.05569642857142857,20.0,0.0015711568295955713,30.0
big,sgd,0.2,0.2,10,0.019599575180769636,0.12187748479690802,0.0,30.0,30.0,30.0,0.024890873015873016,40.0,-0.003218571096658704,80.0
big,sgd,0.2,0.5,10,-0.019147631653786173,0.0923807623064969,0.0,20.0,20.0,30.0,-0.020298701298701306,20.0,0.002287545800209076,20.0
big,sgd,0.2,1.0,10,-0.01781794998354723,0.10886636993293201,0.0,10.0,10.0,30.0,-0.02583333333333333,10.0,-0.0033757150173187255,70.0
small,adam,0.0,0.1,10,-0.060142479948095205,0.11168307883688428,0.0,20.0,20.0,40.0,-0.05194444444444444,20.0,-0.0003372558392584317,20.0
small,adam,0.0,0.2,10,-0.0305989010989011,0.13859625276403825,0.0,30.0,30.0,20.0,-0.03578869047619047,20.0,0.0026068693026900227,20.0
small,adam,0.0,0.5,10,-0.03128736769975663,0.1230465932655744,-0.049404761904761924,30.0,20.0,70.0,-0.049563492063492066,10.0,-0.0018023699522018391,50.0
small,adam,0.0,1.0,10,-0.02048930640490363,0.16616720966727727,0.0,40.0,40.0,30.0,-0.04696248196248196,40.0,0.007520323991775535,20.0
small,adam,0.2,0.1,10,-0.0006155690311662645,0.10382233924233783,0.0,20.0,20.0,20.0,-0.021906565656565638,10.0,-0.0014624232426285757,70.0
small,adam,0.2,0.2,10,-0.06563589996709444,0.12410873636948458,0.0,0.0,0.0,30.0,-0.06218749999999999,0.0,-0.010778367146849639,50.0
small,adam,0.2,0.5,10,-0.0038487166831194576,0.08276660600378657,0.0,10.0,10.0,20.0,0.0070138888888889,20.0,-0.012807579338550552,60.0
small,adam,0.2,1.0,10,-0.018948902364499594,0.15047743624763327,0.0,20.0,20.0,40.0,-0.008854166666666663,30.0,-0.003916746377944968,90.0
small,sgd,0.0,0.0,10,-0.038929962970560214,0.09141033120340315,-0.014191017316017351,20.0,20.0,50.0,-0.03653046076730289,30.0,-0.0036121831042692106,100.0
small,sgd,0.0,0.1,10,-0.0020893207293387174,0.1547243535632622,0.0,40.0,40.0,40.0,-0.07454358549946785,20.0,-0.0003551853355020281,50.0
small,sgd,0.0,0.2,10,-0.03345485474545199,0.09582359302383034,-0.04166666666666663,30.0,30.0,50.0,-0.003999299719887944,30.0,0.000612762756645685,50.0
small,sgd,0.0,0.5,10,0.09924402215641112,0.09011641434046601,0.07500000000000004,70.0,70.0,0.0,0.03928571428571428,30.0,0.0020157009363174715,20.0
small,sgd,0.0,1.0,10,-0.004682050016452777,0.1352527764724444,0.0,30.0,30.0,20.0,0.015535714285714281,30.0,-0.0007911533117293867,40.0
small,sgd,0.2,0.0,10,-0.04535582877142599,0.10938630593748312,0.0,20.0,20.0,30.0,-0.05153679653679651,20.0,-0.00288687250576914,30.0
small,sgd,0.2,0.1,10,0.008234616650213855,0.056518391851637005,0.0,20.0,20.0,10.0,0.0171741452991453,20.0,-0.0018481694161891903,90.0
small,sgd,0.2,0.2,10,0.0022222222222222235,0.021468706290651,0.0,20.0,20.0,10.0,0.0025786019536019555,20.0,0.002798962965607639,50.0
small,sgd,0.2,0.5,10,0.016766852348046812,0.09849118719238792,0.0,30.0,30.0,20.0,0.030330433455433438,40.0,-0.009072180092334722,50.0
small,sgd,0.2,1.0,10,0.017262394427991674,0.08489388854757897,0.0,10.0,10.0,10.0,0.016666666666666663,10.0,-0.002086746692657293,50.0
