epoch,function_name,experiment,noise,optimizer,dropout,weight_decay,model_size,val_loss,auprc,auprc_full,auroc,auroc_full,success,error,checkpoint_path
,f1,base_adam,0.0,adam,0.0,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/base_adam,
,f1,base_sgd,0.0,sgd,0.0,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/base_sgd,
,f1,0.1_adam,0.1,adam,0.0,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.1_adam,
,f1,0.1_sgd,0.1,sgd,0.0,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.1_sgd,
,f1,0.1_adam_dp,0.1,adam,0.2,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.1_adam_dp,
,f1,0.1_adam_wd,0.1,adam,0.0,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.1_adam_wd,
,f1,0.1_adam_dp_wd,0.1,adam,0.2,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.1_adam_dp_wd,
,f1,0.1_sgd_dp,0.1,sgd,0.2,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.1_sgd_dp,
,f1,0.1_sgd_dp_wd,0.1,sgd,0.2,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.1_sgd_dp_wd,
,f1,0.2_adam,0.2,adam,0.0,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.2_adam,
,f1,0.2_sgd,0.2,sgd,0.0,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.2_sgd,
,f1,0.2_adam_dp,0.2,adam,0.2,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.2_adam_dp,
,f1,0.2_adam_wd,0.2,adam,0.0,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.2_adam_wd,
,f1,0.2_adam_dp_wd,0.2,adam,0.2,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.2_adam_dp_wd,
,f1,0.2_sgd_dp,0.2,sgd,0.2,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.2_sgd_dp,
,f1,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.2_sgd_dp_wd,
,f1,0.5_adam,0.5,adam,0.0,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.5_adam,
,f1,0.5_sgd,0.5,sgd,0.0,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.5_sgd,
,f1,0.5_adam_dp,0.5,adam,0.2,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.5_adam_dp,
,f1,0.5_adam_wd,0.5,adam,0.0,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.5_adam_wd,
,f1,0.5_adam_dp_wd,0.5,adam,0.2,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.5_adam_dp_wd,
,f1,0.5_sgd_dp,0.5,sgd,0.2,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.5_sgd_dp,
,f1,0.5_sgd_dp_wd,0.5,sgd,0.2,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.5_sgd_dp_wd,
,f1,1.0_adam,1.0,adam,0.0,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/1.0_adam,
,f1,1.0_sgd,1.0,sgd,0.0,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/1.0_sgd,
,f1,1.0_adam_dp,1.0,adam,0.2,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/1.0_adam_dp,
,f1,1.0_adam_wd,1.0,adam,0.0,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/1.0_adam_wd,
,f1,1.0_adam_dp_wd,1.0,adam,0.2,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/1.0_adam_dp_wd,
,f1,1.0_sgd_dp,1.0,sgd,0.2,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/1.0_sgd_dp,
,f1,1.0_sgd_dp_wd,1.0,sgd,0.2,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/1.0_sgd_dp_wd,
,f1,base_sgd_dp,0.0,sgd,0.2,False,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/base_sgd_dp,
,f1,base_sgd_wd,0.0,sgd,0.0,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/base_sgd_wd,
,f1,base_sgd_dp_wd,0.0,sgd,0.2,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/base_sgd_dp_wd,
,f1,0.1_sgd_wd,0.1,sgd,0.0,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.1_sgd_wd,
,f1,0.2_sgd_wd,0.2,sgd,0.0,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.2_sgd_wd,
,f1,0.5_sgd_wd,0.5,sgd,0.0,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/0.5_sgd_wd,
,f1,1.0_sgd_wd,1.0,sgd,0.0,True,small,,,,,,False,Missing experiment directory: snapshots_probe/small/f1/1.0_sgd_wd,
1.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.009511853568255901,0.5,0.003948667324777887,0.0,0.49702675916749256,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0001.pt
2.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.012387609109282494,0.4444444444444444,0.003948667324777887,0.0,0.49554013875123887,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0002.pt
3.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.006027524825185537,0.36363636363636365,0.003948667324777887,0.0,0.49454905847373637,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0003.pt
4.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.008730953559279442,0.3333333333333333,0.003948667324777887,0.0,0.4940535183349851,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0004.pt
5.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.005882238037884235,0.23529411764705882,0.003948667324777887,0.0,0.49157581764122893,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0005.pt
6.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.004646750167012215,0.4264705882352941,0.08629483382691674,0.25,0.6189296333002974,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0006.pt
7.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.004307740367949009,0.4,0.08629483382691674,0.25,0.6174430128840436,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0007.pt
8.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.004375092219561338,0.3014705882352941,0.06546150049358342,0.23076923076923078,0.6183102081268583,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0008.pt
9.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0035899910144507885,0.2554347826086957,0.06546150049358342,0.2368421052631579,0.6160802775024777,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0009.pt
10.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0030178490560501814,0.3269230769230769,0.1478076669957223,0.4659090909090909,0.7420713577799802,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0010.pt
11.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.005887162405997515,0.213768115942029,0.04462816716025008,0.2236842105263158,0.6152130822596631,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0011.pt
12.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.003253624774515629,0.1875,0.04462816716025008,0.2125,0.6152130822596631,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0012.pt
13.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0030101824086159468,0.1736111111111111,0.04462816716025008,0.21739130434782608,0.6137264618434093,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0013.pt
14.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0028109741397202015,0.1592741935483871,0.04462816716025008,0.2222222222222222,0.6122398414271556,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0014.pt
