success,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,best_epoch,checkpoint_path,val_loss,auprc_full,auroc,auroc_full,num_gt,num_detected,num_candidates,error
False,f7,f7,base_adam,0.0,adam,0.0,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/base_adam
False,f7,f7,base_sgd,0.0,sgd,0.0,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/base_sgd
False,f7,f7,0.1_adam,0.1,adam,0.0,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.1_adam
False,f7,f7,0.1_sgd,0.1,sgd,0.0,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.1_sgd
False,f7,f7,0.1_adam_dp,0.1,adam,0.2,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.1_adam_dp
False,f7,f7,0.1_adam_wd,0.1,adam,0.0,True,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.1_adam_wd
False,f7,f7,0.1_adam_dp_wd,0.1,adam,0.2,True,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.1_adam_dp_wd
False,f7,f7,0.1_sgd_dp,0.1,sgd,0.2,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.1_sgd_dp
False,f7,f7,0.1_sgd_dp_wd,0.1,sgd,0.2,True,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.1_sgd_dp_wd
False,f7,f7,0.2_adam,0.2,adam,0.0,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.2_adam
False,f7,f7,0.2_sgd,0.2,sgd,0.0,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.2_sgd
False,f7,f7,0.2_adam_dp,0.2,adam,0.2,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.2_adam_dp
False,f7,f7,0.2_adam_wd,0.2,adam,0.0,True,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.2_adam_wd
False,f7,f7,0.2_adam_dp_wd,0.2,adam,0.2,True,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.2_adam_dp_wd
False,f7,f7,0.2_sgd_dp,0.2,sgd,0.2,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.2_sgd_dp
False,f7,f7,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.2_sgd_dp_wd
False,f7,f7,0.5_adam,0.5,adam,0.0,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.5_adam
False,f7,f7,0.5_sgd,0.5,sgd,0.0,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.5_sgd
False,f7,f7,0.5_adam_dp,0.5,adam,0.2,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.5_adam_dp
False,f7,f7,0.5_adam_wd,0.5,adam,0.0,True,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.5_adam_wd
False,f7,f7,0.5_adam_dp_wd,0.5,adam,0.2,True,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.5_adam_dp_wd
False,f7,f7,0.5_sgd_dp,0.5,sgd,0.2,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.5_sgd_dp
False,f7,f7,0.5_sgd_dp_wd,0.5,sgd,0.2,True,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/0.5_sgd_dp_wd
False,f7,f7,1.0_adam,1.0,adam,0.0,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/1.0_adam
False,f7,f7,1.0_sgd,1.0,sgd,0.0,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/1.0_sgd
False,f7,f7,1.0_adam_dp,1.0,adam,0.2,False,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/1.0_adam_dp
False,f7,f7,1.0_adam_wd,1.0,adam,0.0,True,small,,,,,,,,,1013,Missing experiment directory: snapshots_probe/small/f7/1.0_adam_wd
