epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0001.pt,0.042926184833049774,0.75,0.4186410003290556,0.375,0.7492566897918731,True,
2,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0002.pt,0.05018927529454231,0.9,0.501974333662389,0.5,0.7497522299306243,True,
3,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0003.pt,0.078191839158535,0.9,0.501974333662389,0.5,0.7497522299306243,True,
4,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0004.pt,0.04067326709628105,0.9,0.501974333662389,0.5,0.7497522299306243,True,
5,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0005.pt,0.03736690431833267,0.9,0.501974333662389,0.5,0.7497522299306243,True,
6,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0006.pt,0.05438419058918953,0.8333333333333333,0.501974333662389,0.5,0.7495044598612487,True,
7,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0007.pt,0.040137771517038345,0.9,0.501974333662389,0.5,0.7497522299306243,True,
8,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0008.pt,0.07014229893684387,0.9,0.501974333662389,0.5,0.7497522299306243,True,
9,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0009.pt,0.03171038255095482,0.9,0.501974333662389,0.5,0.7497522299306243,True,
10,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0010.pt,0.04030114412307739,0.9,0.501974333662389,0.5,0.7497522299306243,True,
11,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0011.pt,0.06625531613826752,0.9,0.501974333662389,0.5,0.7497522299306243,True,
12,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0012.pt,0.03743951395153999,0.9,0.501974333662389,0.5,0.7497522299306243,True,
13,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0013.pt,0.03863053023815155,0.9,0.501974333662389,0.5,0.7497522299306243,True,
14,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0014.pt,0.06035967916250229,0.9,0.501974333662389,0.5,0.7497522299306243,True,
15,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0015.pt,0.04688765108585358,0.9,0.501974333662389,0.5,0.7497522299306243,True,
16,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0016.pt,0.0568716786801815,0.9,0.501974333662389,0.5,0.7497522299306243,True,
17,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0017.pt,0.06138111650943756,0.9,0.501974333662389,0.5,0.7497522299306243,True,
18,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0018.pt,0.032463591545820236,0.9,0.501974333662389,0.5,0.7497522299306243,True,
19,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0019.pt,0.04422737658023834,0.9,0.501974333662389,0.5,0.7497522299306243,True,
20,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0020.pt,0.06461185961961746,0.8333333333333333,0.501974333662389,0.5,0.7495044598612487,True,
21,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0021.pt,0.04764977842569351,0.9,0.501974333662389,0.5,0.7497522299306243,True,
22,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0022.pt,0.05176083743572235,0.9,0.501974333662389,0.5,0.7497522299306243,True,
23,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0023.pt,0.08836045116186142,0.9,0.4186410003290556,0.5,0.7492566897918731,True,
24,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0024.pt,0.04120597615838051,0.9,0.501974333662389,0.5,0.7497522299306243,True,
25,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0025.pt,0.03727155923843384,0.9,0.501974333662389,0.5,0.7497522299306243,True,
26,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0026.pt,0.046473197638988495,0.9,0.4186410003290556,0.5,0.7492566897918731,True,
27,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0027.pt,0.031219476833939552,0.9,0.501974333662389,0.5,0.7497522299306243,True,
28,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0028.pt,0.06224263459444046,0.9,0.4186410003290556,0.5,0.7492566897918731,True,
29,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0029.pt,0.04944831132888794,0.9,0.501974333662389,0.5,0.7497522299306243,True,
30,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0030.pt,0.06037728488445282,0.9,0.501974333662389,0.5,0.7497522299306243,True,
31,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0031.pt,0.05027389898896217,0.9,0.501974333662389,0.5,0.7497522299306243,True,
32,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0032.pt,0.05501950532197952,0.9,0.501974333662389,0.5,0.7497522299306243,True,
33,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0033.pt,0.05093957111239433,0.9,0.501974333662389,0.5,0.7497522299306243,True,
34,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0034.pt,0.05813394859433174,0.9,0.501974333662389,0.5,0.7497522299306243,True,
35,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0035.pt,0.03137846663594246,0.9,0.501974333662389,0.5,0.7497522299306243,True,
36,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0036.pt,0.05759311094880104,0.9,0.501974333662389,0.5,0.7497522299306243,True,
37,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0037.pt,0.029853863641619682,0.9,0.501974333662389,0.5,0.7497522299306243,True,
38,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0038.pt,0.05224337428808212,0.9,0.501974333662389,0.5,0.7497522299306243,True,
39,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0039.pt,0.042189501225948334,0.9,0.501974333662389,0.5,0.7497522299306243,True,
40,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0040.pt,0.050226278603076935,0.9,0.501974333662389,0.5,0.7497522299306243,True,
41,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0041.pt,0.06628870964050293,0.9,0.501974333662389,0.5,0.7497522299306243,True,
42,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0042.pt,0.04944363981485367,0.9,0.501974333662389,0.5,0.7497522299306243,True,
43,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0043.pt,0.03755425289273262,0.9,0.501974333662389,0.5,0.7497522299306243,True,
44,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0044.pt,0.04783333092927933,0.9,0.501974333662389,0.5,0.7497522299306243,True,
45,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0045.pt,0.038264963775873184,0.9,0.501974333662389,0.5,0.7497522299306243,True,
46,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0046.pt,0.040103670209646225,0.9,0.4186410003290556,0.5,0.7492566897918731,True,
47,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0047.pt,0.06254301965236664,0.9,0.501974333662389,0.5,0.7497522299306243,True,
48,f7,f7,dropout_p0.2,0.0,adam,0.2,False,small,snapshots_probe/small/f7/dropout_p0.2/epoch_0048.pt,0.0591043159365654,0.9,0.501974333662389,0.5,0.7497522299306243,True,
