epoch,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,checkpoint_path,val_loss,auprc,auprc_full,auroc,auroc_full,success,error
1,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0001.pt,0.04405995458364487,0.8928571428571428,0.4801538334978611,0.75,0.8737611496531219,True,
2,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0002.pt,0.020109863951802254,1.0,0.5249999999999999,1.0,0.998017839444995,True,
3,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0003.pt,0.027467146515846252,1.0,0.525,1.0,0.9980178394449951,True,
4,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0004.pt,0.019528545439243317,1.0,0.6791666666666667,1.0,0.9990089197224975,True,
5,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0005.pt,0.012610071338713169,1.0,1.0,1.0,1.0,True,
6,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0006.pt,0.011213850229978561,1.0,1.0,1.0,1.0,True,
7,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0007.pt,0.01092204637825489,1.0,1.0,1.0,1.0,True,
8,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0008.pt,0.010690048336982727,1.0,1.0,1.0,1.0,True,
9,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0009.pt,0.011028026230633259,1.0,1.0,1.0,1.0,True,
10,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0010.pt,0.024294735863804817,1.0,1.0,1.0,1.0,True,
11,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0011.pt,0.008911130018532276,1.0,1.0,1.0,1.0,True,
12,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0012.pt,0.00975885521620512,1.0,1.0,1.0,1.0,True,
13,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0013.pt,0.011416967958211899,1.0,1.0,1.0,1.0,True,
14,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0014.pt,0.011088543571531773,1.0,1.0,1.0,1.0,True,
15,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0015.pt,0.0083634527400136,1.0,1.0,1.0,1.0,True,
16,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0016.pt,0.021382108330726624,1.0,0.6791666666666667,1.0,0.9990089197224976,True,
17,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0017.pt,0.012915878556668758,1.0,1.0,1.0,1.0,True,
18,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0018.pt,0.019329318776726723,1.0,1.0,1.0,1.0,True,
19,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0019.pt,0.007811151910573244,1.0,0.95,1.0,0.9997522299306243,True,
20,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0020.pt,0.010718823410570621,1.0,0.6791666666666667,1.0,0.9990089197224975,True,
21,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0021.pt,0.006814290769398212,1.0,1.0,1.0,1.0,True,
22,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0022.pt,0.011461363174021244,1.0,1.0,1.0,1.0,True,
23,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0023.pt,0.009331673383712769,1.0,1.0,1.0,1.0,True,
24,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0024.pt,0.006836317479610443,1.0,1.0,1.0,1.0,True,
25,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0025.pt,0.007868880406022072,1.0,1.0,1.0,1.0,True,
26,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0026.pt,0.010140026919543743,1.0,1.0,1.0,1.0,True,
27,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0027.pt,0.006558600813150406,1.0,1.0,1.0,1.0,True,
28,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0028.pt,0.00998909492045641,1.0,1.0,1.0,1.0,True,
29,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0029.pt,0.010804294608533382,1.0,1.0,1.0,1.0,True,
30,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0030.pt,0.010115682147443295,1.0,1.0,1.0,1.0,True,
31,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0031.pt,0.01089085079729557,1.0,1.0,1.0,1.0,True,
32,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0032.pt,0.010975830256938934,1.0,1.0,1.0,1.0,True,
33,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0033.pt,0.012251597829163074,1.0,1.0,1.0,1.0,True,
34,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0034.pt,0.008074801415205002,1.0,0.6791666666666667,1.0,0.9990089197224975,True,
35,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0035.pt,0.008664142340421677,1.0,1.0,1.0,1.0,True,
36,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0036.pt,0.008760621771216393,1.0,0.6458333333333333,1.0,0.9987611496531219,True,
37,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0037.pt,0.014271683990955353,1.0,1.0,1.0,1.0,True,
38,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0038.pt,0.01288620475679636,1.0,1.0,1.0,1.0,True,
39,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0039.pt,0.007267726119607687,1.0,0.95,1.0,0.9997522299306243,True,
40,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0040.pt,0.01015778910368681,1.0,1.0,1.0,1.0,True,
41,f8,f8,wd_lam0,0.0,adam,0.0,False,small,snapshots_probe/small/f8/wd_lam0/epoch_0041.pt,0.008564310148358345,1.0,1.0,1.0,1.0,True,
